"","number","Assignees","City","Country","date","year"
"733","6,232,472","Merck Frosst Canada & Co.","Kirkland"," CA","       September 13",2000
"734","6,200,993","Merck Frosst Canada & Co.","Kirkland"," CA","       April 17",2000
"735","6,150,534","Merck Frosst Canada & Co.","Kirkland"," CA","       January 14",2000
"736","6,114,132","Merck Frosst Canada & Co.","Kirkland"," CA","       November 4",1997
"737","6,071,936","Merck Frosst Canada & Co.","Kirkland"," CA","       May 17",1999
"738","5,958,723","Merck Frosst Canada & Co.","Kirkland"," CA","       March 6",1997
"739","6,204,034","Merck Frosst Canada & Co.","Kirkland"," CA","       February 15",1994
"740","7,482,456","Merck Frosst Canada ","Kirkland"," Quebec, unknown","       April 27",2004
"741","RE42,562","Merck Frosst Canada ","Kirkland"," Quebec, CA","       April 26",2007
"742","4,778,805","Merck Frosst Canada ","CA","CA","       June 18",1987
"743","5,861,419","Merck Frosst Canad, Inc.","Kirkland"," CA","       July 11",1997
"744","8,013,159","Merck Canada Inc.","Quebec"," CA","       May 15",2006
"745","8,343,968","Merck Canada Inc.","Kirkland"," Quebec, CA","       May 23",2008
"746","8,063,105","Merck Canada Inc.","Kirkland"," Quebec, CA","       July 20",2006
"747","4,349,673","Merck & Co., Inc.","Rahway"," NJ","       December 23",1980
"748","4,349,673","Merck Sharp & Dohme Corp.","Rahway"," NJ","       December 23",1980
"749","4,686,222","Merck & Co., Inc.","Rahway"," NJ","       October 3",1985
"750","4,686,222","Merck Sharp & Dohme (I.A.","I.A.","I.A.","       October 3",1985
"751","4,686,222"," Corp.","Rahway"," NJ","       October 3",1985
"752","5,182,367","Merck & Co., Inc.","Rahway"," NJ","       November 30",1990
"753","5,182,367","Merck Frosst Canada, Inc.","Kirkland"," CA","       November 30",1990
"754","5,834,228","Merck & Co., Inc.","Rahway"," NJ","       February 13",1997
"755","5,834,228","Merck Frosst Canada, Inc.","Kirkland"," CA","       February 13",1997
"756","7,560,559","Merck & Co., Inc.","Rahway"," NJ","       April 12",2004
"757","7,560,559","Merck Frosst Canada & Co.","Quebec"," CA","       April 12",2004
"758","6,740,666","Merck & Co., Inc.","Rahway"," NJ","       November 9",2001
"759","6,740,666","Merck Frosst Canada & Co.","Kirkland"," CA","       November 9",2001
"760","6,441,002","Merck & Co., Inc.","Rahway"," NJ","       November 28",2000
"761","6,441,002","Merck Frosst Canada & Co.","Kirkland"," CA","       November 28",2000
"762","6,281,391","Merck & Co., Inc.","Rahway"," NJ","       October 27",1999
"763","6,281,391","Merck Frosst Canada & Co.","Kirkland"," CA","       October 27",1999
"764","6,420,565","Merck & Co., Inc.","Rahway"," NJ","       February 27",2001
"765","6,420,565","Merck Frosst Canada & Co ","Kirkland"," CA","       February 27",2001
"766","6,605,753","Merck & Co., Inc.","Rahway"," NJ","       January 23",2001
"767","6,605,753","McGill University ","Quebec"," CA","       January 23",2001
"768","6,855,515","Merck & Co., Inc.","Rahway"," NJ","       April 22",1999
"769","6,855,515","Johns Hopkins University ","Baltimore"," MD","       April 22",1999
"770","6,596,736","Merck & Co., Inc.","Rahway"," NJ","       October 30",2001
"771","6,001,843","Merck & Co., Inc.","Rahway"," NJ","       October 29",1998
"772","4,808,608","Merck & Co., Inc.","Rahway"," NJ","       July 21",1987
"773","4,775,680","Merck & Co., Inc.","Rahway"," NJ","       July 21",1987
"774","4,656,168","Merck & Co., Inc.","Rahway"," NJ","       October 13",1983
"775","4,568,679","Merck & Co., Inc.","Rahway"," NJ","       March 25",1982
"776","4,442,094","Merck & Co., Inc.","Rahway"," NJ","       February 22",1982
"777","4,358,455","Merck & Co., Inc.","Rahway"," NJ","       December 23",1980
"778","4,271,187","Merck & Co., Inc.","Rahway"," NJ","       September 18",1979
"779","4,206,216","Merck & Co., Inc.","Rahway"," NJ","       June 5",1978
"780","4,195,091","Merck & Co., Inc.","Rahway"," NJ","       November 15",1978
"781","4,153,715","Merck & Co., Inc.","Rahway"," NJ","       August 16",1977
"782","4,148,903","Merck & Co., Inc.","Rahway"," NJ","       July 28",1977
"783","4,127,584","Merck & Co., Inc.","Rahway"," NJ","       November 11",1977
"784","4,112,112","Merck & Co., Inc.","Rahway"," NJ","       June 6",1977
"785","4,091,105","Merck & Co., Inc.","Rahway"," NJ","       August 12",1977
"786","4,075,225","Merck & Co., Inc.","Rahway"," NJ","       June 29",1976
"787","4,065,572","Merck & Co., Inc.","Rahway"," NJ","       February 13",1976
"788","4,056,536","Merck & Co., Inc.","Rahway"," NJ","       June 29",1976
"789","3,968,236","Merck & Co., Inc.","Rahway"," NJ","       January 22",1975
"790","5,188,830","Merck & Co., Inc.","Rahway"," NJ","       April 2",1990
"791","7,109,223","Merck & Co. Inc.","Rahway"," NJ","       August 25",2003
"792","7,053,085","Merck & Co. Inc.","Rahway"," NJ","       March 10",2004
"793","6,054,253","McGill University-The Royal Institute for the Advancement of Learning ","Quebec"," CA","       October 10",1997
"794","6,054,569","McGill University ","West Montreal"," CA","       November 18",1997
"795","6,683,048","McGill University ","Quebec"," CA","       March 9",1999
"796","6,331,611","McGill University ","Quebec"," CA","       July 21",1995
"797","7,063,944","McGill University ","Quebec"," CA","       January 19",2000
"798","5,512,483","McGill University ","Quebec"," CA","       May 21",1993
"799","7,846,414","McGill University ","Montreal"," Quebec, CA","       November 17",2003
"800","7,262,151","McGill University ","Montreal"," Quebec, CA","       May 16",2002
"801","7,250,068","McGill University ","Montreal"," Quebec, CA","       October 6",2000
"802","8,278,103","McGill University ","Montreal"," Quebec, CA","       January 31",2003
"803","7,947,265","McGill University ","Montreal"," Quebec, CA","       August 2",2007
"804","7,700,272","McGill University ","Montreal"," Quebec, CA","       June 8",2005
"805","7,572,798","McGill University ","Montreal"," Quebec, CA","       February 26",2002
"806","7,423,114","McGill University ","Montreal"," Quebec, CA","       November 28",2005
"807","8,241,846","McGill University ","Montreal"," Quebec, CA","       January 31",2003
"808","7,439,035","McGill University ","Montreal"," Quebec, CA","       June 20",2003
"809","7,235,534","McGill University ","Montreal"," Quebec, CA","       May 16",2002
"810","5,942,395","McGill University ","Montreal"," CA","       April 24",1997
"811","5,942,395","Pence ","Edmonton"," CA","       April 24",1997
"812","6,478,939","McGill University ","Montreal"," CA","       March 1",2000
"813","6,478,939","Imperial Cancer Research Technology ","London"," GB","       March 1",2000
"814","6,478,939","International Center for Genetic Engineering and Biotechnology ","Trieste"," IT","       March 1",2000
"815","6,046,246","McGill University ","Montreal"," CA","       February 17",1998
"816","6,046,246","Hybridon, Inc.","Milford"," MA","       February 17",1998
"817","5,912,127","McGill University ","Montreal"," CA","       June 7",1995
"818","5,912,127","Hybridon, Inc.","Milford"," MA","       June 7",1995
"819","7,071,375","McGill University ","Montreal"," CA","       July 12",2002
"820","7,071,375","DNA Landmarks, Inc.","Quebec"," CA","       July 12",2002
"821","6,833,240","McGill University ","Montreal"," CA","       March 8",2001
"822","6,833,240","Complexe Hospitalier de la Sagamie ","Chicoutimi"," CA","       March 8",2001
"823","6,544,743","McGill University ","Montreal"," CA","       September 14",2000
"824","6,544,743","Complexe Hospitalier de la Sagamie ","Chicoutimi"," CA","       September 14",2000
"825","6,558,912","McGill University ","Montreal"," CA","       September 15",2000
"826","6,558,912","Amgen Canada Inc.","Mississauge"," CA","       September 15",2000
"827","6,733,725","McGill University ","Montreal"," CA","       March 30",2001
"828","6,514,478","McGill University ","Montreal"," CA","       March 30",2001
"829","6,342,198","McGill University ","Montreal"," CA","       May 5",2000
"830","6,251,349","McGill University ","Montreal"," CA","       April 7",2000
"831","6,077,439","McGill University ","Montreal"," CA","       August 22",1997
"832","8,324,358","McGill University ","Montreal"," CA","       May 26",2006
"833","7,393,837","McGill University ","Montreal"," CA","       September 30",2004
"834","7,364,852","McGill University ","Montreal"," CA","       July 12",2004
"835","7,173,002","McGill University ","Montreal"," CA","       April 24",2002
"836","7,138,369","McGill University ","Montreal"," CA","       February 4",2003
"837","7,129,341","McGill University ","Montreal"," CA","       May 5",2000
"838","7,063,842","McGill University ","Montreal"," CA","       February 13",2003
"839","6,967,238","McGill University ","Montreal"," CA","       March 22",2002
"840","6,951,970","McGill University ","Montreal"," CA","       January 17",2002
"841","6,949,378","McGill University ","Montreal"," CA","       February 25",2000
"842","6,914,044","McGill University ","Montreal"," CA","       December 4",2001
"843","6,861,518","McGill University ","Montreal"," CA","       September 24",2002
"844","6,852,908","McGill University ","Montreal"," CA","       December 28",2001
"845","6,828,430","McGill University ","Montreal"," CA","       June 8",2000
"846","6,780,845","McGill University ","Montreal"," CA","       January 29",2002
"847","6,730,662","McGill University ","Montreal"," CA","       June 7",1999
"848","6,610,821","McGill University ","Montreal"," CA","       April 7",2000
"849","6,610,500","McGill University ","Montreal"," CA","       June 8",1998
"850","6,607,880","McGill University ","Montreal"," CA","       March 2",1998
"851","6,593,087","McGill University ","Montreal"," CA","       December 27",2000
"852","6,582,911","McGill University ","Montreal"," CA","       August 10",2000
"853","6,562,786","McGill University ","Montreal"," CA","       February 10",1999
"854","6,562,595","McGill University ","Montreal"," CA","       February 16",2001
"855","6,558,950","McGill University ","Montreal"," CA","       September 10",1999
"856","6,551,994","McGill University ","Montreal"," CA","       April 8",1998
"857","6,551,781","McGill University ","Montreal"," CA","       July 12",2000
"858","6,465,427","McGill University ","Montreal"," CA","       December 10",1999
"859","6,417,325","McGill University ","Montreal"," CA","       July 20",1999
"860","6,403,308","McGill University ","Montreal"," CA","       April 28",1998
"861","6,365,798","McGill University ","Montreal"," CA","       November 23",1999
"862","6,346,512","McGill University ","Montreal"," CA","       February 10",1999
"863","6,333,307","McGill University ","Montreal"," CA","       February 12",1999
"864","6,326,352","McGill University ","Montreal"," CA","       February 17",2000
"865","6,245,885","McGill University ","Montreal"," CA","       October 5",1998
"866","6,207,639","McGill University ","Montreal"," CA","       July 14",1998
"867","6,184,031","McGill University ","Montreal"," CA","       May 8",1996
"868","6,169,071","McGill University ","Montreal"," CA","       December 23",1997
"869","6,133,017","McGill University ","Montreal"," CA","       June 2",1995
"870","6,114,376","McGill University ","Montreal"," CA","       April 28",1998
"871","6,031,072","McGill University ","Montreal"," CA","       July 11",1997
"872","6,017,878","McGill University ","Montreal"," CA","       August 7",1996
"873","5,965,528","McGill University ","Montreal"," CA","       January 24",1995
"874","5,945,521","McGill University ","Montreal"," CA","       October 9",1997
"875","5,734,041","McGill University ","Montreal"," CA","       October 20",1995
"876","5,714,466","McGill University ","Montreal"," CA","       June 22",1994
"877","5,384,250","McGill University ","Montreal"," CA","       October 8",1993
"878","5,219,989","McGill University ","Montreal"," CA","       February 24",1992
"879","6,534,599","McGill University ","Montreal"," CA","       August 15",2001
"880","6,469,132","McGill University ","Montreal"," CA","       May 3",2000
"881","5,880,192","McGill University ","Montreal"," CA","       November 10",1997
"882","8,323,919","McGill University ","Montreal"," CA","       May 26",2006
"883","8,119,790","McGill University ","Montreal"," CA","       December 14",2009
"884","8,012,944","McGill University ","Montreal"," CA","       December 6",2004
"885","7,939,061","McGill University ","Montreal"," CA","       February 2",2009
"886","7,655,460","McGill University ","Montreal"," CA","       January 8",2003
"887","7,358,045","McGill University ","Montreal"," CA","       July 12",2004
"888","6,822,087","McGill University ","Montreal"," CA","       June 8",2000
"889","6,777,182","McGill University ","Montreal"," CA","       September 25",2000
"890","6,713,456","McGill University ","Montreal"," CA","       June 7",1999
"891","6,573,307","McGill University ","Montreal"," CA","       August 10",2000
"892","6,562,620","McGill University ","Montreal"," CA","       June 12",2000
"893","6,410,230","McGill University ","Montreal"," CA","       June 9",1999
"894","6,380,171","McGill University ","Montreal"," CA","       December 23",1998
"895","6,342,354","McGill University ","Montreal"," CA","       November 23",1999
"896","6,217,859","McGill University ","Montreal"," CA","       March 1",1999
"897","6,183,963","McGill University ","Montreal"," CA","       May 8",1996
"898","6,146,665","McGill University ","Montreal"," CA","       November 4",1999
"899","6,114,118","McGill University ","Montreal"," CA","       September 9",1998
"900","6,060,457","McGill University ","Montreal"," CA","       February 12",1997
"901","5,919,772","McGill University ","Montreal"," CA","       February 21",1997
"902","7,501,503","McGill University ","Montreal QC"," CA","       December 30",2003
"903","7,470,668","McGill University ","Montreal QC"," CA","       December 30",2003
"904","6,534,056","McGill University ","Montreal Province Quebec"," CA","       December 10",1999
"905","6,528,259","McGill University ","Montreal Province Quebec"," CA","       December 10",1999
"906","6,596,857","McGill University ","CA","CA","       December 1",1999
"907","6,476,216","McGill University ","CA","CA","       December 3",1998
"908","5,834,230","McGill University ","CA","CA","       July 23",1996
"909","7,485,449","McGill University ","CA","CA","       September 17",2003
"910","6,107,080","McGill University ","CA","CA","       April 24",1997
"911","7,358,053","McGill Univeristy ","Montreal"," Quebec, CA","       June 6",2003
"912","6,031,092","Mc Gill University ","Montreal"," CA","       October 15",1997
"913","7,842,767","Matrix Innovation Inc.","Montreal"," Quebec, CA","       August 4",2004
"914","7,235,297","Matrix Innovation Inc.","Montreal"," Quebec, CA","       November 20",2001
"915","6,316,599","Massachusetts Institute of Technology ","Cambridge"," MA","       March 9",1998
"916","5,726,288","Massachusetts Institute of Technology ","Cambridge"," MA","       August 2",1993
"917","5,198,344","Massachusetts Institute of Technology ","Cambridge"," MA","       February 6",1991
"918","5,605,870","Martinex Science, Inc.","Montreal"," CA","       May 19",1994
"919","6,703,197","Martinex R&D, Inc.","Montreal"," CA","       November 26",1997
"920","6,638,765","Martinex R&D, Inc.","Montreal"," CA","       November 26",1997
"921","6,416,734","Martinex R&D Inc.","Montreal"," CA","       November 5",1998
"922","6,410,722","Martinex R&D Inc.","Montreal"," CA","       November 5",1998
"923","6,630,445","Martinex R & D, Inc.","Montreal"," CA","       April 4",2002
"924","7,101,837","Martinex R & D Inc.","Montreal"," CA","       June 20",1997
"925","6,774,108","Martinex R & D Inc.","Montreal"," CA","       August 27",2001
"926","6,627,440","Martinex R & D Inc.","Montreal"," CA","       November 6",1998
"927","6,534,479","Martinex R & D Inc.","Montreal"," CA","       December 3",1996
"928","7,098,012","Martinex R & D Inc.","Montreal"," CA","       June 20",1997
"929","6,759,197","Martinex R & D Inc.","Montreal"," CA","       August 27",2001
"930","6,534,272","Martinex R & D Inc.","Montreal"," CA","       December 3",1996
"931","6,288,034","Martinex R & D Inc.","CA","CA","       November 5",1998
"932","5,760,188","Martin R&F Inc.","Montreal"," CA","       January 25",1996
"933","7,314,662","Marko I.R.D.C., Inc.","Saint Leonard"," Quebec, CA","       September 26",2003
"934","6,958,118","MAAX, Inc.","Montreal","Montreal","       August 27",2002
"935","4,094,986","M. S. & D. (I.A.","I.A.","I.A.","       July 5",1977
"936","4,094,986"," Corp.","Rahway"," NJ","       July 5",1977
"937","7,067,138","Los Angeles Biomedical Research Institute at Harbor-UCLA Medical Center ","Torrance"," CA","       November 18",2000
"938","4,537,761","Liquid Carbonic Inc.","Montreal"," CA","       May 17",1984
"939","5,329,774","Liquid Air Engineering Corporation ","Montreal"," CA","       October 8",1992
"940","8,232,399","Li; Chao-Jun ","Brossard"," CA","       March 2",2007
"941","4,969,774","Le Groupe Cegerco Inc.","Montreal"," CA","       October 5",1989
"942","4,276,092","Lafarge Consultants Ltd.","Montreal"," CA","       December 3",1979
"943","7,837,412","LaFarge Canada Inc.","Montreal"," Quebec, CA","       February 12",2007
"944","8,177,908","Lafarge Canada Inc.","Montreal"," Quebec, CA","       October 8",2010
"945","5,650,005","Lafarge Canada Inc.","Montreal"," CA","       May 29",1996
"946","5,837,052","Lafarge Canada Inc.","CA","CA","       April 10",1997
"947","5,223,035","Lafarage Canada Inc.","Montreal"," CA","       December 9",1991
"948","7,262,253","Labopharm, Inc.","Quebec"," CA","       December 2",2003
"949","7,094,810","Labopharm, Inc.","Quebec"," CA","       June 25",2003
"950","7,018,655","Labopharm, Inc.","Quebec"," CA","       March 18",2002
"951","6,939,564","Labopharm, Inc.","Quebec"," CA","       June 8",2001
"952","7,838,600","Labopharm, Inc.","Laval"," CA","       September 16",2008
"953","7,838,600","Labopharm Europe Limited ","Dublin"," IE","       September 16",2008
"954","7,838,600","Labopharm ","Barbados","Barbados","       September 16",2008
"955","7,838,600"," Limited ","Christchurch"," BB","       September 16",2008
"956","7,510,731","Labopharm Inc.","Quebec"," CA","       November 10",2006
"957","7,510,731","Labopharm Europe Limited ","Dublin"," IE","       November 10",2006
"958","7,510,731","Labopharm ","Barbados","Barbados","       November 10",2006
"959","7,510,731"," Limited ","Christ Church"," BB","       November 10",2006
"960","4,654,308","La Corporation de l'Ecole Polytechnique ","Montreal"," CA","       June 19",1985
"961","4,375,464","La Corporation de l'Ecole Polytechnique ","Montreal"," CA","       June 19",1985
"962","4,607,023","L'Institut de Recherches Cliniques de Montreal ","Quebec"," CA","       August 27",1984
"963","6,268,211","L'Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       August 20",1991
"964","5,574,206","L'Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       August 24",1994
"965","6,251,592","L'Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       August 20",1991
"966","4,211,843","L'Institut Armand-Frappier ","Laval"," CA","       November 30",1977
"967","5,435,833","L'Air Liquide, Societe Anonyme pour l'Etude et l'Exploitation des ","Paris"," FR","       September 30",1993
"968","7,655,631","Kotinos Pharmaceuticals Inc.","New York"," NY","       September 30",2005
"969","RE34,065","Kam Scientific Inc.","Winnipeg"," CA","       July 3",1990
"970","5,075,025","Kam Scientific Inc.","Winnipeg"," CA","       June 6",1989
"971","4,839,079","KAM Scientific Inc.","Manitoba"," CA","       October 22",1987
"972","5,538,551","Jouets Bo-Jeux Toys Inc.","Anjou"," CA","       May 15",1995
"973","5,649,915","Johnson & Johnson Inc.","Quebec"," CA","       June 7",1995
"974","5,477,627","Johnson & Johnson Inc.","Quebec"," CA","       May 5",1995
"975","5,843,061","Johnson & Johnson Consumer Products, Inc.","Skillman"," NJ","       September 30",1996
"976","4,226,237","Johnson & Johnson ","New Brunswick"," NJ","       January 30",1979
"977","4,215,692","Johnson & Johnson ","New Brunswick"," NJ","       January 30",1979
"978","5,039,677","Janssen Pharmaceutica N.V.","Montreal"," CA","       June 13",1990
"979","6,160,109","Isis Pharmaceuticals, Inc.","Carlsbad"," CA","       June 30",1998
"980","6,160,109","McGill University ","Montreal"," CA","       June 30",1998
"981","7,049,432","ISIS Pharmaceuticals, Inc.","Carlsbad"," CA","       June 4",2002
"982","7,049,432","McGill University ","CA","CA","       June 4",2002
"983","6,486,313","ISIS Pharmaceuticals, Inc.","Carlsbad"," CA","       February 18",1999
"984","6,486,313","McGill University ","CA","CA","       February 18",1999
"985","7,893,039","ISIS Pharmaceuticals, Inc.","Carlsbad"," CA","       May 30",2008
"986","7,943,749","Isis Pharmaceuticals, Inc.","Carlsbad"," CA","       April 27",2007
"987","8,110,574","Ipsen Pharma S.A.S.","Boulogne-Billancourt"," FR","       November 15",2010
"988","7,858,789","Ipsen Pharma S.A.S.","Boulogne-Billancourt"," FR","       May 2",2008
"989","6,372,342","Intertape Polymer Group Inc.","Montreal"," CA","       December 3",1999
"990","3,995,815","International Bronze Powders Ltd.","Montreal"," CA","       October 25",1974
"991","6,916,607","Institute Pasteur ","Paris"," FR","       August 31",1999
"992","7,368,278","Institute Francais du Petrole ","Rueil Malmaison Cedex"," FR","       June 2",2004
"993","6,025,143","Institut Pasteur ","Paris"," FR","       June 7",1995
"994","5,859,189","Institut Pasteur ","Paris Cedex"," FR","       November 17",1993
"995","4,698,452","Institut Nationale de la Recherche Scientifique ","Sainte-Foy"," CA","       October 2",1986
"996","6,030,794","Institut National de la Sante et de la Recherche Medicale ","Paris"," FR","       June 27",1995
"997","6,030,794","Centre National de la Recherche Scientifique ","Paris"," FR","       June 27",1995
"998","6,030,794","Universite Louis Pasteur ","Strasbourg"," FR","       June 27",1995
"999","6,030,794","E. R. Squibb & Sons, Inc.","Princeton"," NJ","       June 27",1995
"1000","6,486,381","Institut National de la Sante et de la Recherche Medicale ","Paris"," FR","       October 26",1999
"1001","6,486,381","Centre National de la Recherche Scientifique ","Paris"," FR","       October 26",1999
"1002","6,486,381","Universite Louis Pasteur ","Strasbourg"," FR","       October 26",1999
"1003","6,486,381","Bristol Myers Squibb Company ","Princeton"," NJ","       October 26",1999
"1004","6,031,149","Institut National De La Sante Et De La Recherche Medicale ","Paris Cedex"," FR","       December 29",1995
"1005","6,031,149","Centre National De La Recherche Scientifique ","Paris Cedex"," FR","       December 29",1995
"1006","6,031,149","Universite Louis Pasteur ","Strausberg Cedex"," FR","       December 29",1995
"1007","6,031,149","E.R. Squibb & Sons, Inc.","Princeton"," NJ","       December 29",1995
"1008","8,329,257","Institut National de la Recherche Scientifque ","Quebec"," CA","       June 28",2010
"1009","8,071,906","Institut National De La Recherche Scientifique ","Quebec"," CA","       December 1",2006
"1010","7,651,773","Institut National De La Recherche Scientifique ","Quebec"," CA","       March 27",2006
"1011","7,776,384","Institut National de la Recherche Scientifique ","Quebec"," CA","       March 27",2006
"1012","7,591,989","Institut National de la Recherche Scientifique ","Quebec"," CA","       May 9",2003
"1013","7,186,520","Institut de Recherches Cliniques de Montreal ","Montreal"," Quebec, CA","       November 4",1999
"1014","7,446,189","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       April 27",2000
"1015","7,446,189","The Trustees of the University of Pennsylvania ","Philadelphia"," PA","       April 27",2000
"1016","7,446,189","Valorisation-Recherche, Societe en Commandite ","Montreal"," CA","       April 27",2000
"1017","8,227,245","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       September 8",2009
"1018","8,227,245","The Hospital for Sick Children ","Toronto"," CA","       September 8",2009
"1019","8,088,571","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       September 19",2008
"1020","8,088,571","Institut National de la Recherche Scientifique ","Quebec"," CA","       September 19",2008
"1021","6,852,538","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       April 19",2000
"1022","6,184,436","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       November 3",1999
"1023","6,054,571","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       May 11",1998
"1024","5,789,564","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       September 12",1996
"1025","5,773,649","Institut de Recherches Cliniques de Montreal ","Montreal"," CA","       September 12",1996
"1026","7,347,872","Institut de Recherche Cliniques De Montreal ","Montreal"," Quebec, CA","       June 21",2004
"1027","7,968,320","Institut de Cardiologie de Montreal ","Montreal"," Quebec, CA","       June 20",2007
"1028","7,211,424","Institut de Cardiologie de Montreal ","Montreal"," Quebec, CA","       December 23",2002
"1029","4,038,142","Institut Armand Frappier ","Ville de Laval"," CA","       May 30",1975
"1030","5,116,746","Institut Armand Frappier ","Quebec"," CA","       September 23",1991
"1031","5,202,249","Imperial Chemical Industries PLC ","London"," GB3","       August 13",1991
"1032","4,911,770","Imperial Chemical Industries PLC ","London"," GB2","       December 15",1988
"1033","5,989,549","Immucon Inc.","Montreal"," CA","       June 8",1998
"1034","6,743,900","ID Biomedical Corporation of Quebec (Ville St.","Ville St. Laurent"," CA","       February 15",2001
"1035","8,173,140","ID Biomedical Corporation of Quebec ","Laval"," CA","       October 22",2004
"1036","7,399,840","ID Biomedical Corporation of Quebec ","Laval"," CA","       February 3",2004
"1037","3,956,471","ICI Australia Limited ","Melbourne"," AU","       July 1",1974
"1038","3,956,471","Canadian Industries, Ltd.","Montreal"," CA","       July 1",1974
"1039","5,227,301","Ibex Technologies, Inc.","Montreal"," CA","       April 4",1991
"1040","6,083,719","IBEX Technologies R and D, Inc.","Montreal"," CA","       July 8",1994
"1041","6,054,439","IBEX Technologies R and D, Inc.","Montreal"," CA","       September 17",1997
"1042","5,661,032","Ibex Technologies ","Montreal"," CA","       June 10",1994
"1043","5,047,407","IAF BioChem International, Inc.","Montreal"," CA","       February 8",1989
"1044","5,041,449","IAF BioChem International, Inc.","Montreal"," CA","       June 29",1990
"1045","8,285,351","HydroElectron Ventures, Inc.","Westmount"," CA","       December 29",2009
"1046","6,136,476","Hydro-Quebec Corporation ","Montreal"," CA","       January 29",1999
"1047","6,136,476","3M Innovative Properties Company (St.","St. Paul"," MN","       January 29",1999
"1048","5,906,792","Hydro-Quebec and McGill University ","Montreal"," CA","       January 19",1996
"1049","5,763,363","Hydro-Quebec and McGill University ","Montreal"," CA","       December 26",1996
"1050","6,835,495","Hydro-Quebec ","Quebec"," CA","       March 27",2002
"1051","6,835,495","Centre National de la Recherche Scientifique ","Paris"," FR","       March 27",2002
"1052","6,365,068","Hydro-Quebec ","Quebec"," CA","       June 30",2000
"1053","6,365,068","Centre National de la Recherche Scientifique ","Paris"," FR","       June 30",2000
"1054","6,171,522","Hydro-Quebec ","Quebec"," CA","       November 19",1998
"1055","6,171,522","Centre National de la Recherche Scientifique ","Paris"," FR","       November 19",1998
"1056","6,576,159","Hydro-Quebec ","Montreal","Montreal","       August 9",2000
"1057","6,576,159","Centre National de la Recherche Scientifique ","Paris"," FR","       August 9",2000
"1058","8,282,691","Hydro-Quebec ","Montreal"," Quebec, CA","       October 7",2011
"1059","8,114,469","Hydro-Quebec ","Montreal"," Quebec, CA","       May 2",2008
"1060","8,067,117","Hydro-Quebec ","Montreal"," Quebec, CA","       November 23",2010
"1061","8,048,561","Hydro-Quebec ","Montreal"," Quebec, CA","       June 25",2004
"1062","7,998,617","Hydro-Quebec ","Montreal"," Quebec, CA","       December 29",2006
"1063","7,972,728","Hydro-Quebec ","Montreal"," Quebec, CA","       August 20",2010
"1064","7,964,308","Hydro-Quebec ","Montreal"," Quebec, CA","       September 8",2010
"1065","7,960,058","Hydro-Quebec ","Montreal"," Quebec, CA","       September 8",2010
"1066","7,955,733","Hydro-Quebec ","Montreal"," Quebec, CA","       August 20",2010
"1067","7,588,826","Hydro-Quebec ","Montreal"," Quebec, CA","       October 23",2003
"1068","7,457,018","Hydro-Quebec ","Montreal"," Quebec, CA","       January 19",2007
"1069","8,318,355","Hydro-Quebec ","Montreal"," Quebec, CA","       December 6",2002
"1070","8,304,087","Hydro-Quebec ","Montreal"," Quebec, CA","       February 20",2008
"1071","8,298,582","Hydro-Quebec ","Montreal"," Quebec, CA","       March 28",2007
"1072","7,897,674","Hydro-Quebec ","Montreal"," Quebec, CA","       January 15",2003
"1073","8,333,911","Hydro-Quebec ","Montreal"," Quebec, CA","       January 25",2007
"1074","6,277,170","Hydro-Quebec ","Montreal"," CA","       December 2",1999
"1075","6,277,170","McGill University ","Montreal"," CA","       December 2",1999
"1076","5,964,965","Hydro-Quebec ","Montreal"," CA","       August 15",1997
"1077","5,964,965","McGill University ","Montreal"," CA","       August 15",1997
"1078","5,755,985","Hydro-Quebec ","Montreal"," CA","       January 11",1995
"1079","5,755,985","Dai-Ichi Kogyo Seiyaku Co., Ltd.","Kyoto"," JP","       January 11",1995
"1080","7,601,318","Hydro-Quebec ","Montreal"," CA","       September 21",2001
"1081","7,601,318","CNRS ","Paris"," FR","       September 21",2001
"1082","7,601,318","Universite de Montreal ","Montreal"," CA","       September 21",2001
"1083","6,506,517","Hydro-Quebec ","Montreal"," CA","       April 6",2001
"1084","6,506,517","Centre National de la Recherche Scientifique ","Paris"," FR","       April 6",2001
"1085","6,395,367","Hydro-Quebec ","Montreal"," CA","       December 2",1998
"1086","6,395,367","Centre National de la Recherche Scientifique ","Paris"," FR","       December 2",1998
"1087","6,333,425","Hydro-Quebec ","Montreal"," CA","       November 19",1998
"1088","6,333,425","Centre National de la Recherche Scientifique ","Paris"," FR","       November 19",1998
"1089","6,319,428","Hydro-Quebec ","Montreal"," CA","       December 3",1998
"1090","6,319,428","Centre National de la Recherche Scientifique ","Paris"," FR","       December 3",1998
"1091","6,228,942","Hydro-Quebec ","Montreal"," CA","       December 2",1998
"1092","6,228,942","Centre National de la Recherche Scientifique ","Paris"," FR","       December 2",1998
