Label,City,Country,regions,classification,nations,degree_normalized,degree,clossness_normalized,closeness,betweenness,betweenness_normalized,eigenvector,pagerank
Queen's University at Kingston ,Kingston,CA,external,university,within,0.010135135,3,0.006195061,2.09E-05,0,0,1.69E-05,0.002155793
RCA Corporation ,Princeton,NJ,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
RCA Licensing Corp.,Princeton,NJ,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Reckitt & Colman Inc.,Wayne,NJ,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Reckitt Benckiser Inc.,Wayne,NJ,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Reetz; Manfred T.,Muelheim/Ruhr,DE,external,individual,outside,0.003378378,1,0.006178638,2.09E-05,0,0,3.11E-06,0.001065092
"Research Corporation Technologies, Inc.",Tucson,AZ,external,business,outside,0.006756757,2,0.006195061,2.09E-05,0,0,8.94E-06,0.001674988
Rhein Chemie Corporation ,Trenton,NJ,external,business,outside,0.006756757,2,0.006209226,2.10E-05,0,0,3.77E-05,0.001718028
Rhein Chemie Rheinau GmbH ,Mannheim,DE,external,business,outside,0.010135135,3,0.00619545,2.09E-05,0,0,1.25E-05,0.002060399
Rhodia Chimie ,Billancourt Cedex,FR,external,business,outside,0.013513514,4,0.006176317,2.09E-05,408,0.009344938,2.70E-07,0.006739437
Rhodia Inc.,Cranbury,NJ,external,business,outside,0.013513514,4,0.006210007,2.10E-05,928,0.021255153,3.27E-05,0.005218251
Rhodia Operations ,Ambervilliers,FR,external,business,outside,0.006756757,2,0.006193246,2.09E-05,536,0.012276683,2.95E-06,0.003046059
Rhone Poulenc Inc.,Cranbury,NJ,external,business,outside,0.003378378,1,0.00619221,2.09E-05,0,0,2.92E-06,0.001613929
Rock Oil Corporation ,Detroit,MI,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Rogers Corporation ,Rogers,CT,external,business,outside,0.003378378,1,0.003401282,1.15E-05,0,0,0,0.001904492
Rutgers University ,New Brunswick,NJ,external,university,outside,0.003378378,1,0.003424499,1.16E-05,0,0,0,0.001716799
"Rutgers, The State University ",New Brunswick,NJ,external,university,outside,0.016891892,5,0.003424658,1.16E-05,9,0.000206138,0,0.007127934
Sanofi ,Princeton,NJ,external,business,outside,0.023648649,7,0.003436386,1.16E-05,11,0.000251947,0,0.007650655
Scheeing Corporation ,Kenilworth,NJ,external,business,outside,0.047297297,14,0.006211441,2.10E-05,551.7404762,0.012637207,0.824522885,0.007549226
Schering Plough Corporation ,Kenilworth,NJ,external,business,outside,0.006756757,2,0.006193635,2.09E-05,0,0,0.147418087,0.001421742
ScinoPharm ,Changshu,CN,external,business,outside,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
Sharp Corporation ,Osaka,JP,external,business,outside,0.010135135,3,0.003436267,1.16E-05,0,0,0,0.003420164
Shell Oil Company ,Houston,TX,external,business,outside,0.006756757,2,0.006182251,2.09E-05,137,0.003137884,3.37E-07,0.002776049
"Signal Pharmaceuticals, LLC ",San Diego,CA,external,business,within,0.003378378,1,0.006158712,2.08E-05,0,0,2.41E-08,0.001937181
Smithkline Beecham Corp.,Philadelphia,PA,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"Soladigm, Inc.",Milpitas,CA,external,business,within,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
"Solidia Technologies, Inc.",Piscataway,NJ,external,business,outside,0.010135135,3,0.003424539,1.16E-05,0,0,0,0.003961844
"SOLIX ALGREDIENTS, INC.",Fort Collins,CO,external,business,outside,0.010135135,3,0.003401321,1.15E-05,0,0,0,0.003350438
"Solix Biosystems, Inc.",Fort Collins,CO,external,business,outside,0.006756757,2,0.003401321,1.15E-05,0,0,0,0.002372812
Standard Oil Company ,Cleveland,OH,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Tarkett AB ,Ronneby,SE,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"TekSonix, Inc.",Commerce City,CO,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
The Board of Governors of Wayne State University ,Detroit,MI,external,university,outside,0.006756757,2,0.003436267,1.16E-05,8,0.000183234,0,0.002546495
The Board of Trustees of the University of Alabama ,Tuscaloosa,AL,external,university,outside,0.010135135,3,0.00618096,2.09E-05,0,0,1.51E-07,0.003235576
The Broken Hill Proprietary Company Limited ,Broken Hill ,AU,external,business,outside,0.006756757,2,0.003389831,1.15E-05,0,0,0,0.003367003
The Carborundum Company ,Niagara Falls,NY,external,business,outside,0.006756757,2,0.003389792,1.15E-05,0,0,0,0.002593503
The Curators of the University of Missouri ,Columbia,MO,external,university,outside,0.010135135,3,0.0062048,2.10E-05,0,0,0.047914205,0.002452859
The Dexter Corporation ,Windsor,CT,internal,business,outside,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
The Dow Chemical Company ,Midland,MI,external,business,outside,0.006756757,2,0.003389831,1.15E-05,1,2.29E-05,0,0.004914005
The Institute For Chemical Science and Technology ,Sarnia,CA,internal,public institute,within,0.016891892,5,0.006212484,2.10E-05,412.7833333,0.009454497,1.43E-05,0.004318661
"The Morgan Crucible Company, p/c ",Windsor,GB,internal,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
The Procter & Gamble Company ,Cincinnati,OH,external,business,outside,0.003378378,1,0.006158712,2.08E-05,0,0,2.41E-08,0.001937181
The Standard Oil Co.,Cleveland,OH,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York,NY,external,university,outside,0.006756757,2,0.006185869,2.09E-05,137,0.003137884,0.08150637,0.002258263
The Trustees of Princeton University ,Princeton,NJ,external,university,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
THE TRUSTESS OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York,NY,external,university,outside,0.003378378,1,0.006168209,2.08E-05,0,0,0.007286343,0.001464812
The United States of America as represented by the United States ,Washington,DC,external,business,outside,0.003378378,1,0.006181606,2.09E-05,0,0,3.21E-07,0.001373879
The University of Akron ,Akron,OH,external,university,outside,0.013513514,4,0.00621131,2.10E-05,249.3298535,0.005710716,4.19E-05,0.003020738
The University of Connecticut ,Storrs,CT,external,university,outside,0.006756757,2,0.003401321,1.15E-05,0,0,0,0.003312159
The University of North Carolina at Chapel Hill ,Chapel Hill,NC,external,university,outside,0.006756757,2,0.003389831,1.15E-05,0,0,0,0.003367003
The University of Southern California ,Los Angeles,CA,external,university,within,0.003378378,1,0.006174771,2.09E-05,0,0,0.000511147,0.001695388
The University of Western Ontario ,London,CA,external,university,within,0.02027027,6,0.00620493,2.10E-05,234.6703297,0.00537495,6.76E-06,0.005058963
"The University of Western Ontario, in trust for Surface Science Western ",London,CA,external,university,within,0.010135135,3,0.006200251,2.09E-05,45.31666667,0.001037945,2.51E-06,0.00278213
The University of Windsor ,Windsor,CA,internal,university,within,0.010135135,3,0.006195061,2.09E-05,0,0,1.58E-05,0.002270295
The Valspar Corporation ,Minneapolis,MN,external,business,outside,0.003378378,1,0.006183672,2.09E-05,0,0,2.56E-07,0.001486754
"TherOx, Inc.",Irvine,CA,external,business,within,0.013513514,4,0.003436147,1.16E-05,0,0,0,0.004217329
Thiokol Corporation ,Chicago,IL,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Toyota Jidosha Kabushiki Kaisha ,Toyota-Shi,JP,external,business,outside,0.010135135,3,0.006198563,2.09E-05,272,0.006229959,1.38E-06,0.003165997
Trustees of Columbia University in the City of New York ,New York,NY,external,university,outside,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
"Tyrx, Inc.",Monmouth Junction,NJ,external,business,outside,0.003378378,1,0.003424499,1.16E-05,0,0,0,0.001716799
Union Camp Corporation ,Wayne,NJ,external,business,outside,0.003378378,1,0.006149244,2.08E-05,0,0,2.08E-09,0.001958018
Union Carbide Chemicals and Plastics Company Inc.,Danbury,CT,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Union Carbide Corporation ,New York,NY,external,business,outside,0.003378378,1,0.006183672,2.09E-05,0,0,2.56E-07,0.001486754
United Technologies Corp.,Hartford,CT,external,business,outside,0.043918919,13,0.006215876,2.10E-05,2671.7,0.061193312,1.52E-05,0.012655172
Universal Display Corporation ,Ewing,NJ,external,business,outside,0.006756757,2,0.006192469,2.09E-05,137,0.003137884,0.005717787,0.002800794
Universite de Montreal ,Montreal,CA,external,university,within,0.010135135,3,0.003389831,1.15E-05,0,0,0,0.003738686
University of Connecticut ,Farmington,CT,external,university,outside,0.006756757,2,0.003401321,1.15E-05,0,0,0,0.003312159
University of Kentucky Research Foundation ,Lexington,KY,external,university,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
University of Medicine and Dentistry of New Jersey ,Somerset,NJ,external,university,outside,0.003378378,1,0.003424499,1.16E-05,0,0,0,0.001716799
University of North Carolina at Chapel Hill ,Chapel Hill,NC,external,university,outside,0.006756757,2,0.003389831,1.15E-05,0,0,0,0.003367003
University of Saskatchewan Technologies Inc.,Saskatoon,CA,external,university,within,0.003378378,1,0.003436107,1.16E-05,0,0,0,0.001444171
University of Waterloo ,Waterloo,CA,external,university,within,0.006756757,2,0.006199213,2.09E-05,24.67655678,0.000565198,7.05E-06,0.001944048
University of Windsor ,Windsor,CA,internal,university,within,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"USF Filtration & Separations Group, Inc.",Timonium,MD,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
"UTC Fuel Cells, LLC ",Windsor,CT,internal,business,outside,0.027027027,8,0.006199732,2.09E-05,371.4333333,0.008507406,3.73E-06,0.007895133
UTC Power Corporation ,Windsor,CT,internal,business,outside,0.006756757,2,0.006198563,2.09E-05,0,0,1.69E-06,0.002171362
Viavi Solutions Inc.,San Jose,CA,external,business,within,0.006756757,2,0.003389831,1.15E-05,0,0,0,0.002623639
"View, Inc.",Milpitas,CA,external,business,within,0.006756757,2,0.003378378,1.14E-05,0,0,0,0.003367003
"Warsaw Orthopedic, Inc.",Warsaw,IN,external,business,outside,0.003378378,1,0.003378378,1.14E-05,0,0,0,0.003367003
Wayne State University ,Detroit,MI,external,university,outside,0.016891892,5,0.003436306,1.16E-05,11,0.000251947,0,0.00552424
"Western Electric Co., Inc.",New York,NY,external,business,outside,0.006756757,2,0.006152951,2.08E-05,272,0.006229959,0.000305964,0.002791067
"World Properties, Inc.",Lincolnwood,IL,external,business,outside,0.010135135,3,0.003401361,1.15E-05,2,4.58E-05,0,0.004939204
Wyeth ,Madison,NJ,external,business,outside,0.043918919,13,0.00622254,2.10E-05,4681.033333,0.107215605,0.44014868,0.008531901
Wyeth Holdings Corporation ,Madison,NJ,external,business,outside,0.010135135,3,0.0062048,2.10E-05,0,0,0.047914205,0.002452859
YALE UNIVERSITY ,New Haven,CT,external,university,outside,0.003378378,1,0.006185869,2.09E-05,0,0,0.037360022,0.001132459
