Label,City,Country,regions,classification,nations,degree_normalized,degree,clossness_normalized,closeness,betweenness,betweenness_normalized,eigenvector,pagerank
Glaxo Wellcome Inc.,Research Triangle Park,NC,external,business,outside,0.005181347,2,0.013504058,3.50E-05,6.583333333,8.86E-05,0.001841885,0.001463204
M. S. & D. ,Kirkland,CA,external,business,outside,0.005181347,2,0.013596337,3.52E-05,21.67492595,0.000291702,0.020442867,0.001338253
Her Majesty the Queen in Right of Canada as represented by the National ,Ottawa,CA,external,public institute,within,0.005181347,2,0.013541009,3.51E-05,0,0,0.001522396,0.001619491
"Her Majesty the Queen in right of Canada, as represented by the Minister ",Ottawa,CA,external,public institute,within,0.005181347,2,0.013611679,3.53E-05,0,0,0.071034392,0.001240538
Bioniche Urology IP Inc.,CA,CA,external,business,within,0.005181347,2,0.002597403,6.73E-06,0,0,1.52E-18,0.002583979
Haemacure Biotech Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.01324958,3.43E-05,315,0.004239284,5.14E-05,0.002724783
HT Materials Corporation ,Clifton Park,NY,external,business,outside,0.005181347,2,0.013551467,3.51E-05,63.24260041,0.000851122,0.004106505,0.001650679
"Hybridon, Inc.",Milford,MA,external,business,outside,0.005181347,2,0.013676304,3.54E-05,0,0,0.138239089,0.001304988
ID Biomedical Corporation of Quebec ,Laval,CA,external,business,within,0.005181347,2,0.013484245,3.49E-05,43.92976449,0.000591209,0.001680855,0.001499688
Imperial Cancer Research Technology ,London,GB,external,public institute,outside,0.005181347,2,0.013676788,3.54E-05,0,0,0.074251795,0.001471813
Imperial Chemical Industries PLC ,London,GB3,external,business,outside,0.005181347,2,0.01326187,3.44E-05,628,0.008451652,4.04E-05,0.002142187
Biosystemix Ltd.,Sydenham,CA,external,business,within,0.005181347,2,0.013660332,3.54E-05,0,0,0.137553193,0.001146137
Institute Pasteur ,Paris,FR,external,public institute,outside,0.005181347,2,0.013469188,3.49E-05,32.76579992,0.000440964,0.000863476,0.001758067
International Center for Genetic Engineering and Biotechnology ,Trieste,IT,external,public institute,outside,0.005181347,2,0.013676788,3.54E-05,0,0,0.074251795,0.001471813
Johns Hopkins University ,Baltimore,MD,external,university,outside,0.005181347,2,0.013589635,3.52E-05,0,0,0.029143307,0.001256262
L'Institut Armand-Frappier ,Laval,CA,external,public institute,within,0.005181347,2,0.002597403,6.73E-06,0,0,0,0.00201349
"IAF BioChem International, Inc.",Montreal,CA,internal,business,within,0.005181347,2,0.013567186,3.51E-05,0,0,0.004777968,0.001288423
Institut Armand Frappier ,Montreal,CA,internal,public institute,within,0.005181347,2,0.013120772,3.40E-05,315,0.004239284,2.80E-06,0.00254792
Johnson & Johnson ,Montreal,CA,internal,business,within,0.005181347,2,0.01321013,3.42E-05,315,0.004239284,5.45E-06,0.002512043
L'Institut de Recherches Cliniques de Montreal ,Montreal,CA,internal,public institute,within,0.005181347,2,0.013577207,3.52E-05,216.4656501,0.002913204,0.006430463,0.001634828
Micrologix Biotech Inc.,Vancouver,CA,external,business,within,0.005181347,2,0.013677273,3.54E-05,315,0.004239284,0.069451349,0.001840704
Milestone Pharmaceuticals ,Saint-Laurent,CA,external,business,within,0.005181347,2,0.01360784,3.53E-05,0,0,0.014462056,0.001278827
LCB Pharma Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013642468,3.53E-05,78.80183927,0.001060519,0.020942434,0.001321982
Martinex R & D Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013676304,3.54E-05,0,0,0.138239089,0.001304988
Montedison S.p.A.,Milan,IT,external,business,outside,0.005181347,2,0.013445261,3.48E-05,939,0.012637104,0.00281173,0.002042516
MOUNT SINAI HOSPITAL ,Toronto,CA,external,public institute,within,0.005181347,2,0.013660332,3.54E-05,0,0,0.137553193,0.001146137
Neomed Institute ,Montreal,CA,internal,public institute,within,0.005181347,2,0.013458856,3.49E-05,0,0,0.000644567,0.001619022
Northern Telecom Limited ,Montreal,CA,internal,business,within,0.005181347,2,0.002597403,6.73E-06,0,0,3.99E-18,0.00201349
Novartis AG ,Basel,CH,external,business,outside,0.005181347,2,0.013603045,3.52E-05,0,0,0.083529875,0.001253563
Nymox Corporation ,Dorval,CA,external,business,within,0.005181347,2,0.002597403,6.73E-06,1,1.35E-05,0,0.003771213
Ocean University of China ,Qingdao,CN,external,university,outside,0.005181347,2,0.013604004,3.52E-05,315,0.004239284,0.041965428,0.00180045
Oligo Medic Inc ,Montreal,CA,internal,business,within,0.005181347,2,0.002610931,6.76E-06,0,0,0,0.00251779
OTV SA ,Saint-Maurice Cedex,FR,external,business,outside,0.005181347,2,0.002590674,6.71E-06,0,0,0,0.002583979
OVIVO INC ,Montreal,CA,internal,business,within,0.005181347,2,0.002597403,6.73E-06,1,1.35E-05,1.70E-18,0.003771213
"PerkinElmer LAS, Inc.",Boston,MA,external,business,outside,0.005181347,2,0.013370281,3.46E-05,0,0,0.000387275,0.001967308
Pharmacia Biotech Inc.,Milwaukee,WI,external,business,outside,0.005181347,2,0.013532464,3.51E-05,102.5167042,0.001379674,0.005322663,0.001744797
"Pierce Biotechnology, Inc.",Rockford,IL,external,business,outside,0.005181347,2,0.013387902,3.47E-05,0.5,6.73E-06,0.00112538,0.001777165
"Polymics, LTD ",State College,PA,external,business,outside,0.005181347,2,0.013630425,3.53E-05,187.9093246,0.002528892,0.042048777,0.001522118
Procyon Biopharma Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013613599,3.53E-05,81.96293075,0.001103061,0.012280936,0.001397935
Proscan RX Pharma ,Montreal,CA,internal,business,within,0.005181347,2,0.013686973,3.55E-05,131.5084241,0.001769846,0.081003346,0.001309909
Pyrogenesis Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013606401,3.52E-05,315,0.004239284,0.054949089,0.001712207
Regents of the University of Minnesota ,Minneapolis,MN,external,university,outside,0.005181347,2,0.013676304,3.54E-05,0,0,0.138239089,0.001304988
Rio Tinto Alcan International Limited ,Montreal,CA,internal,business,within,0.005181347,2,0.013494616,3.50E-05,2163,0.02910975,0.001091577,0.001797544
Royal Canadian Mint ,Ottawa,CA,external,business,within,0.005181347,2,0.01354386,3.51E-05,0,0,0.00831876,0.001672122
Slemon; Clarke ,Potland,CA,external,individual,within,0.005181347,2,0.013383261,3.47E-05,315,0.004239284,0.000679865,0.002338573
Societe de Conseils de Recherches et d'Applications Scientifiques ,Paris,FR,external,business,outside,0.005181347,2,0.013539109,3.51E-05,315,0.004239284,0.004279489,0.001818193
Socovar S.E.C.,Montreal,CA,internal,business,within,0.005181347,2,0.01336704,3.46E-05,0,0,0.00188968,0.001421462
TEKNOR APEX COMPANY ,Pawtucket,RI,external,business,outside,0.005181347,2,0.013206062,3.42E-05,102.6666667,0.001381693,2.28E-06,0.002098894
The Abestos Institute ,Montreal,CA,internal,public institute,within,0.005181347,2,0.013301172,3.45E-05,628,0.008451652,0.000195283,0.002415945
The Administrators of the Tulane Educational Fund ,New Orleans,LA,external,public institute,outside,0.005181347,2,0.013676304,3.54E-05,0,0,0.138239089,0.001304988
The Medicines Company ,Parsippany,NJ,external,business,outside,0.005181347,2,0.01358294,3.52E-05,26.27429237,0.000353601,0.009338235,0.001334557
The National Research Council of Canada ,Ottawa,CA,external,business,within,0.005181347,2,0.013559084,3.51E-05,492.248072,0.006624696,0.002016679,0.001494925
The Rockefeller University ,New York,NY,external,university,outside,0.005181347,2,0.013676304,3.54E-05,0,0,0.138239089,0.001304988
Transfert Plus ,Montreal,CA,internal,business,within,0.005181347,2,0.013546236,3.51E-05,0,0,0.013407066,0.001396864
Universite Paul Sabatier Toulouse III ,Toulouse Cedex,FR,external,university,outside,0.005181347,2,0.013549089,3.51E-05,0,0,0.027984194,0.001227587
University of Vermont and State Agricultural College ,Burlington,VT,external,university,outside,0.005181347,2,0.013676304,3.54E-05,0,0,0.138239089,0.001304988
"Val-Chum, S.E.C.",Montreal,CA,internal,business,within,0.005181347,2,0.01367146,3.54E-05,0,0,0.110541534,0.00119985
"Viro Chem Pharma, Inc.",Montreal,CA,internal,business,within,0.005181347,2,0.013547663,3.51E-05,5.881263858,7.92E-05,0.005359239,0.001289652
Vanderbilt University ,Nashville,TN,external,university,outside,0.005181347,2,0.013584374,3.52E-05,0,0,0.044033474,0.001186113
Veolia Water Solutions & Technologies Support ,Saint Maurice,FR,external,business,outside,0.005181347,2,0.002590674,6.71E-06,0,0,1.90E-18,0.002583979
Wisconsin Alumni Research Foundation ,Madison,WI,external,business,outside,0.005181347,2,0.013603045,3.52E-05,0,0,0.083529875,0.001253563
Wyeth ,Madison,NJ,external,business,outside,0.005181347,2,0.013260504,3.44E-05,0,0,4.62E-05,0.001741777
Biota Scientific Management Pty Ltd ,Notting Hill,AU,external,business,outside,0.002590674,1,0.013477654,3.49E-05,0,0,0.002125566,0.000844709
3M Innovative Properties Company (St.,St. Paul,MN,external,business,outside,0.002590674,1,0.013605442,3.52E-05,0,0,0.054686569,0.000764215
Adherex Technologies ,Ottawa,CA,external,business,within,0.002590674,1,0.013676304,3.54E-05,0,0,0.069119544,0.000846293
"ADM Agri-Industries, Ltd.",Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
AFINA ENERGY INC.,Montreal,CA,internal,business,within,0.002590674,1,0.013526299,3.50E-05,0,0,0.004800446,0.001169896
Aktiebolaget Astra ,Sodertalje,SE,external,business,outside,0.002590674,1,0.013431226,3.48E-05,0,0,0.000336394,0.000946427
Akzo Nobel ,Arnhem,NL,external,business,outside,0.002590674,1,0.013589635,3.52E-05,0,0,0.014571654,0.000821929
Air Liquide Canada ,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Alcan Research & Development Limited ,Montreal,CA,internal,business,within,0.002590674,1,0.013209226,3.42E-05,0,0,5.42E-06,0.00127511
Alcon International Limited ,Montreal,CA,internal,business,within,0.002590674,1,0.013209226,3.42E-05,0,0,5.42E-06,0.00127511
"Alexion Pharmaceuticals, Inc.",New Haven,CT,external,business,outside,0.002590674,1,0.01351446,3.50E-05,0,0,0.005393764,0.000969393
American Air Liquide Inc.,Fremont,CA,external,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Amgen Canada Inc.,Mississauge,CA,external,business,within,0.002590674,1,0.013676304,3.54E-05,0,0,0.069119544,0.000846293
"American Iron & Metal Company, Inc.",Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Aquaconsult Anlagenbau GmbH ,Traiskirchen,AT,external,business,outside,0.002590674,1,0.002597385,6.73E-06,0,0,3.36E-19,0.001990362
Archambault; Denis ,Longueuil,CA,external,individual,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Archer Daniels Midland Company ,Decatur,IL,external,business,outside,0.002590674,1,0.002610913,6.76E-06,0,0,0,0.001447729
Astar Biotech LLC ,Richmond,VA,external,business,outside,0.002590674,1,0.013441515,3.48E-05,0,0,0.001012021,0.001153686
Astra Pharma Inc.,Mississauga,CA,external,business,within,0.002590674,1,0.013458856,3.49E-05,0,0,0.000322283,0.001003309
APTALIS PHARMA CANADA ULC ,Mont-Saint-Hilaire,CA,external,business,within,0.002590674,1,0.013442452,3.48E-05,0,0,0.002798232,0.001015739
Ayerst.,Montreal,CA,internal,business,within,0.002590674,1,0.013260048,3.44E-05,0,0,4.02E-05,0.001059321
Barbara Ann Karmanos Cancer Institute ,Detroit,MI,external,public institute,outside,0.002590674,1,0.002590674,6.71E-06,0,0,1.59E-18,0.002583979
BASF Plant Science GmbH ,Research Triangle Park,NC,external,business,outside,0.002590674,1,0.013531989,3.51E-05,0,0,0.011200317,0.00091097
Bellus Health Inc.,Laval,CA,external,business,within,0.002590674,1,0.013493201,3.50E-05,0,0,0.00204055,0.000840455
BIOAMBER INC.,Montreal,CA,internal,business,outside,0.002590674,1,0.012981772,3.36E-05,0,0,1.94E-07,0.001470463
Beth Israel Deaconess Medical Center ,Boston,MA,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Bio Syntech ,Laval,CA,external,business,within,0.002590674,1,0.002610913,6.76E-06,0,0,0,0.001447729
"biOasis Technologies, Inc.",Guilford,CT,external,business,outside,0.002590674,1,0.013460734,3.49E-05,0,0,0.001523265,0.000933247
BioMarin Pharmaceutical Inc.,Novato,CA,external,business,within,0.002590674,1,0.013382797,3.47E-05,0,0,0.000599313,0.001000146
"Biotech Cardio-Vision, Societe en Commandite Enregistree ",Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Bitumar Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
"Minister of Energy, Mines and Resources Canada ",Ottawa,CA,external,public institute,within,0.002590674,1,0.013560989,3.51E-05,0,0,0.00530587,0.001028636
British Columbia Research Council ,Vancouver,CA,external,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Cascades Canada ULC ,Montreal,CA,internal,business,within,0.002590674,1,0.01336195,3.46E-05,0,0,8.38E-05,0.001296465
Celluforce Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.013430759,3.48E-05,0,0,0.000371991,0.001123922
Center for Translation Research in cancer ,Montreal,CA,internal,public institute,within,0.002590674,1,0.013454634,3.49E-05,0,0,0.002900631,0.001152788
Chu Sainte-Justine ,Montreal,CA,internal,business,within,0.002590674,1,0.013535786,3.51E-05,0,0,0.010547043,0.000957793
Concordia University ,Montreal,CA,internal,university,within,0.002590674,1,0.013442452,3.48E-05,0,0,0.002798232,0.001015739
Critical Outcome Technologies Inc.,London,CA,external,business,within,0.002590674,1,0.013584374,3.52E-05,0,0,0.022016737,0.000786855
"Cubist Pharmaceuticals, Inc.",Lexington,MA,external,business,outside,0.002590674,1,0.013423286,3.48E-05,0,0,0.000710904,0.000945833
DALSA Semiconductor Inc.,Waterloo,CA,external,business,within,0.002590674,1,0.013430291,3.48E-05,0,0,0.000393203,0.001028315
DMS Pharmaceutical Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.002597385,6.73E-06,0,0,0,0.001990362
Domtar Inc ,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
"Elkimia, Inc.",Rosemere,CA,external,business,within,0.002590674,1,0.013606401,3.52E-05,0,0,0.01529693,0.000814932
Dundee Sustainable Technologies Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.013605442,3.52E-05,0,0,0.054686569,0.000764215
Exploration Orbite VSPA Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.01336195,3.46E-05,0,0,8.38E-05,0.001296465
"General Dynamics Ordnance and Tactical Systems--Canada Valleyfield, Inc.",Salaberry-de-Valleyfield,CA,external,business,within,0.002590674,1,0.013205159,3.42E-05,0,0,2.25E-06,0.001215645
Genome Atlantic ,Halifax,CA,external,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
GRIFFON PHARMACEUTICALS INC.,Montreal,CA,internal,business,within,0.002590674,1,0.013391618,3.47E-05,0,0,0.000736057,0.001249969
GENE SIGNAL INTERNATIONAL,Lausanne,CH,external,business,outside,0.002590674,1,0.013572433,3.52E-05,0,0,0.00637078,0.00088765
Group NanoXplore Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Her Majesty in Right of Canada as represented by the Minister of Agriculture and Agri-Food Canada ,Ottawa,CA,external,public institute,within,0.002590674,1,0.013585331,3.52E-05,0,0,0.016347822,0.00086392
Hoffmann-La Roche Inc.,Little Falls,NJ,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,6.50E-19,0.002583979
H. L. Blachford Ltd.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Haemacure Corporation ,Montreal,CA,internal,business,within,0.002590674,1,0.013107851,3.40E-05,0,0,3.55E-06,0.00154563
"Human Genome Sciences, Inc.",Rockville,MD,external,business,outside,0.002590674,1,0.013676304,3.54E-05,0,0,0.069119544,0.000846293
Horacio Uri Saragovi ,Montreal,CA,internal,business,within,0.002590674,1,0.013357788,3.46E-05,0,0,0.000112665,0.001210365
ICI Australia Limited ,Melbourne,AU,external,business,outside,0.002590674,1,0.012936957,3.35E-05,0,0,2.28E-08,0.00128183
Chemisar Laboratories Inc.,Court Guelph,CA,external,business,within,0.002590674,1,0.013068797,3.39E-05,0,0,1.79E-07,0.001262307
Institute Francais du Petrole ,Rueil Malmaison Cedex,FR,external,public institute,outside,0.002590674,1,0.013507366,3.50E-05,0,0,0.001200113,0.001003779
Ipsen Pharma S.A.S.,Boulogne-Billancourt,FR,external,business,outside,0.002590674,1,0.013391154,3.47E-05,0,0,0.000295796,0.001160329
"Johnson & Johnson Consumer Products, Inc.",Skillman,NJ,external,business,outside,0.002590674,1,0.01306924,3.39E-05,0,0,3.77E-07,0.001455215
Les Sables Olimag Inc.,Thetford Mines,CA,external,business,within,0.002590674,1,0.013209226,3.42E-05,0,0,5.42E-06,0.00127511
Li; Chao-Jun ,Brossard,CA,external,individual,within,0.002590674,1,0.013603045,3.52E-05,0,0,0.041764937,0.00082058
ME RESOURCE CORP ,Vancouver,CA,external,business,within,0.002590674,1,0.013205159,3.42E-05,0,0,2.25E-06,0.001215645
"Merrimack Pharmaceuticals, Inc.",Cambridge,MA,external,business,outside,0.002590674,1,0.013676304,3.54E-05,0,0,0.069119544,0.000846293
"La Compagnie Americanine de Fer et Metaux, Inc.",Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,1.11E-18,0.002583979
Michigan Cancer Foundation ,Detroit,MI,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Migenix Inc.,Vancouver,CA,external,business,within,0.002590674,1,0.013526299,3.50E-05,0,0,0.004800446,0.001169896
"Millendo Therapeutics, Inc ",Ann Arbor,MI,external,business,outside,0.002590674,1,0.013584374,3.52E-05,0,0,0.022016737,0.000786855
Minnesota Mining & Manufacturing Co. (St.,St. Paul,MN,external,business,outside,0.002590674,1,0.013605442,3.52E-05,0,0,0.054686569,0.000764215
Nanoledge Inc.,Boucherville,CA,external,business,within,0.002590674,1,0.013588678,3.52E-05,0,0,0.049735984,0.000728694
Micropharma Limited ,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,5.29E-19,0.002583979
New England Deaconess Hospital ,Boston,MA,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
NanoXplore Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
NOVA Chemicals ,Calgary,CA,external,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Nymox Pharmaceutical Corporation (St.,St. Laurent,CA,external,business,within,0.002590674,1,0.002597385,6.73E-06,0,0,0,0.001990362
Odyssey Pharmaceuticals Inc.,San Ramon,CA,external,business,within,0.002590674,1,0.013454634,3.49E-05,0,0,0.001437984,0.001035443
Ohio State University Research Foundation ,Columbus,OH,external,university,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Ogilvie Mills Ltd.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,1.41E-19,0.002583979
Ontario Research Foundation ,Mississauga,CA,external,public institute,within,0.002590674,1,0.013560989,3.51E-05,0,0,0.00530587,0.001028636
"OTONOMY, INC.",San Diego,CA,external,business,within,0.002590674,1,0.013357788,3.46E-05,0,0,0.000112665,0.001210365
Oral Delivery Technology Ltd.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
"Pegasus Refractory Materials, Inc.",Montreal,CA,internal,business,within,0.002590674,1,0.01345698,3.49E-05,0,0,0.003798056,0.001115285
Peiromont and Company Limited ,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Phenogene Therapeutiques Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.01351446,3.50E-05,0,0,0.005393764,0.000969393
PLUMOSCIENCE INC.,Montreal,CA,internal,business,within,0.002590674,1,0.013572433,3.52E-05,0,0,0.00637078,0.00088765
Procrea BioSciences Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.002597385,6.73E-06,0,0,0,0.001990362
PYROWAVE INC.,Oakville,CA,external,business,within,0.002590674,1,0.013205159,3.42E-05,0,0,2.25E-06,0.001215645
RBA Pharma Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.013369354,3.46E-05,0,0,0.000358648,0.001175813
"RedCell Canada, Inc.",Montreal,CA,internal,business,within,0.002590674,1,0.013403709,3.47E-05,0,0,0.000902562,0.001068043
Roques; Elodie ,Montreal,CA,internal,individual,within,0.002590674,1,0.002590674,6.71E-06,0,0,8.67E-19,0.002583979
Rougier Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Rozen; Rima ,Montreal,CA,internal,individual,within,0.002590674,1,0.013530092,3.51E-05,0,0,0.005217317,0.001016684
SAFRAN ,Paris,FR,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
SAFRAN AIRCRAFT ENGINES ,Paris,FR,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Schering Corporation ,Kenilworth,NJ,external,business,outside,0.002590674,1,0.013576252,3.52E-05,0,0,0.017172221,0.000777419
"SeaTek Marine Biotechnology, Inc.",Surrey,CA,external,business,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Signalgene ,Montreal,CA,internal,business,within,0.002590674,1,0.002597385,6.73E-06,0,0,0,0.001990362
Sorbonne University ,Paris,FR,external,university,outside,0.002590674,1,0.013379549,3.47E-05,0,0,0.000761118,0.000997433
The Board of Trustees of the University of Illinois ,Urbana,IL,external,university,outside,0.002590674,1,0.013530566,3.51E-05,0,0,0.004827754,0.001065532
The Council of the Queensland Institute of Medical Research ,Herston,AU,external,business,outside,0.002590674,1,0.013676304,3.54E-05,0,0,0.069119544,0.000846293
The Hospital for Sick Children ,Toronto,CA,external,public institute,within,0.002590674,1,0.013572433,3.52E-05,0,0,0.00637078,0.00088765
The Ohio State University Research Foundation ,Columbus,OH,external,university,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
The Universite de Montreal ,Montreal,CA,internal,university,within,0.002590674,1,0.013583418,3.52E-05,0,0,0.013855853,0.000856025
Thrasos Therapeutics Inc.,Montreal,CA,internal,business,within,0.002590674,1,0.013403709,3.47E-05,0,0,0.000902562,0.001068043
The University of Akron ,Akron,OH,external,university,outside,0.002590674,1,0.002597385,6.73E-06,0,0,1.37E-18,0.001990362
"The University of British Columbia (Vancouver, B.C.",Vancouver,CA,external,university,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
THE UNIVERSITY OF MANITOBA ,Winnipeg,CA,external,university,within,0.002590674,1,0.013361487,3.46E-05,0,0,8.95E-05,0.001168218
Torcan Chemical LTD ,Aurora,CA,external,business,within,0.002590674,1,0.013238673,3.43E-05,0,0,4.70E-05,0.00138149
Tricil Limited ,Montreal,CA,internal,business,within,0.002590674,1,0.012936957,3.35E-05,0,0,2.28E-08,0.00128183
UAS Laboratories LLC ,Madison,WI,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Union Carbide Chemicals & Plastics Technology Corporation ,Danbury,CT,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Union Carbide Corporation ,Toronto,CA,external,business,within,0.002590674,1,0.013507366,3.50E-05,0,0,0.001200113,0.001003779
"Universidad Nacional Autonoma de Mexico (Mexico, D.F.",Mexico,MM,external,university,outside,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
Universite Joseph Fourier ,Grenoble,FR,external,university,outside,0.002590674,1,0.013660332,3.54E-05,0,0,0.068776597,0.000766867
University of British Columbia ,Vancouver,CA,external,university,within,0.002590674,1,0.002590674,6.71E-06,0,0,0,0.002583979
University of Massachusettes ,Boston,MA,external,university,outside,0.002590674,1,0.013660332,3.54E-05,0,0,0.068776597,0.000766867
University of Pittsburgh ,Pittsburgh,PA,external,university,outside,0.002590674,1,0.013606401,3.52E-05,0,0,0.01529693,0.000814932
Valorbec Societe en Commandite ,Montreal,CA,internal,business,within,0.002590674,1,0.013019428,3.37E-05,0,0,9.37E-07,0.001547876
Nitrogenix Inc.,VG,VG,external,business,outside,0.002590674,1,0.002590674,6.71E-06,0,0,3.07E-19,0.002583979
Whitehead Institute for Biomedical Research ,Cambridge,MA,external,public institute,outside,0.002590674,1,0.01352867,3.50E-05,0,0,0.004872601,0.001043001
ZYMEWORKS INC.,Vancouver,CA,external,business,within,0.002590674,1,0.013507366,3.50E-05,0,0,0.001200113,0.001003779
