number,Assignees,City,Country,date,year
"6,943,161","Pharmacopela Drug Discovery, Inc.",Princeton, NJ,       June 28,2002
"7,989,459","Pharmacopeia, LLC ",San Diego, CA,       February 2,2007
"7,951,803","Pharmacopeia, LLC ",San Diego, CA,       March 9,2007
"8,350,043","Pharmacopeia, Inc.",Princeton, NJ,       June 7,2006
"6,468,787","Pharmacopeia, Inc.",Princeton, NJ,       April 19,1999
"6,410,342","Pharmacopeia, Inc.",Princeton, NJ,       August 19,1997
"6,310,244","Pharmacopeia, Inc.",Princeton, NJ,       July 23,1998
"5,977,306","Pharmacopeia, Inc.",Princeton, NJ,       December 18,1998
"7,479,495","Pharmacopeia, Inc.",Cranbury, NJ,       June 2,2005
"7,479,495",Bristol-Myers Squibb Company ,Princeton, NJ,       June 2,2005
"7,365,209","Pharmacopeia, Inc.",Cranbury, NJ,       February 10,2004
"7,985,748","Pharmacopeia Drug Discovery, Inc.",Princeton, NJ,       March 12,2010
"7,985,748",Scheeing Corporation ,Kenilworth, NJ,       March 12,2010
"6,900,213","Pharmacopeia Drug Discovery, Inc.",Princeton, NJ,       July 21,2003
"7,084,154","Pharmacopeia Drug Disclovery, Inc.",Cranbury, NJ,       February 11,2003
"9,561,269",Pfizer Inc.,New York, NY,23-Jan,2015
"9,822,150",Pfizer Inc.,New York, NY,27-Aug,2014
"5,276,070","Pfizer Hospital Products Group, Inc.",New York, NY,       March 31,1992
"5,258,420","Pfizer Hospital Products Group, Inc.",New York, NY,       June 10,1991
"5,106,614","Pfizer Hospital Products Group, Inc.",New York, NY,18-Dec,1989
"4,900,546","Pfizer Hospital Products Group, Inc.",New York, NY,       July 30,1987
"4,837,279","Pfizer Hospital Products Corp, Inc.",New York, NY,       February 22,1988
"7,956,161","Pestka Biomedical Laboratories, Inc.",Piscataway, NJ,       April 11,2008
"4,904,795",Pennwalt Corporation ,Philadelphia, PA,       March 25,1988
"4,126,627",Pennwalt Corporation ,Philadelphia, PA,       February 6,1978
"8,455,157","PD-LD, Inc.",Pennington, NJ,28-Apr,2008
"7,709,484","Palatin Technologies, Inc.",Cranbury, NJ,       April 19,2005
"4,036,905",Oxirane Corporation ,Princeton, NJ,       April 12,1976
"10,143,555","Oxford Performance Materials, LLC ",South Windsor, CT,31-Jul,2015
"4,722,740",OXCE Fuel Company ,Windsor, CT,       September 30,1982
"4,810,259",Oxce Fuel Company ,Windsor, CT,       September 19,1985
"4,645,514",Oxce Fuel Company ,Windsor, CT,       July 21,1983
"5,601,092","Ortho-McNeil, Inc.",CA,CA,       May 31,1995
"5,598,850","Ortho-McNeil, Inc.",CA,CA,       May 31,1995
"6,395,559","Orchid BioSciences, Inc.",Princeton, NJ,       May 4,1999
"4,861,797",Oratech Pharmaceutical Development Corporation ,Princeton, NJ,       October 15,1987
"4,859,704",Oratech Pharmaceutical Development Corporation ,Princeton, NJ,       March 25,1988
"4,229,066","Optical Coating Laboratory, Inc.",Santa Rosa, CA,       September 20,1978
"9,101,615","OPKO Health, Inc.",Miami, FL,13-Aug,2010
"4,721,738",Occidental Research Corporation ,Los Angeles, CA,       October 7,1985
"7,483,610",Nufern ,East Granby, CT,       May 3,2005
"7,386,210",Nufern ,East Granby, CT,       October 3,2006
"7,167,621",Nufern ,East Granby, CT,       November 3,2004
"7,116,887",Nufern ,East Granby, CT,       July 11,2003
"7,110,647",Nufern ,East Granby, CT,       August 3,2004
"7,072,552",Nufern ,East Granby, CT,       December 2,2004
"7,003,206",Nufern ,East Granby, CT,       June 24,2004
"6,779,364",Nufern ,East Granby, CT,       November 4,2002
"6,687,445",Nufern ,East Granby, CT,       June 25,2001
"6,625,363",Nufern ,East Granby, CT,       June 6,2001
"6,477,307",Nufern ,East Granby, CT,       October 23,2000
"8,655,129",Nufern ,East Granby, CT,22-Jan,2010
"9,352,996",Nufern ,East Granby, CT,03-Jul,2013
"8,043,833",Novo Nordisk A/S ,Bagsvaerd, DK,       September 6,2006
"9,126,979",Novartis AG ,Basel, CH,12-Dec,2012
"10,077,276",Novartis AG ,Basel, CH,16-Jan,2015
"5,043,411",Nova Petrochemicals Inc.,Sarnia, CA,       May 14,1990
"5,043,394",Nova Petrochemicals Inc.,Sarnia, CA,       March 2,1990
"6,063,879",Nova Chemicals ,International,International,       October 29,1997
"6,063,879", S.A.,Villars-sur-Glane, CH,       October 29,1997
"5,965,677",Nova Chemicals ,International,International,       October 29,1997
"5,965,677", S.A.,N/A,N/A,       October 29,1997
"10,000,630",NOVA CHEMICALS ,INTERNATIONAL,INTERNATIONAL,21-Oct,2015
"10,000,630", S.A.,Fribourg, CH,21-Oct,2015
"9,481,748",NOVA Chemicals ,International,International,12-Aug,2014
"9,481,748", S.A.,Fribourg, CH,12-Aug,2014
"10,035,906",NOVA Chemicals ,International,International,24-Oct,2016
"10,035,906", S.A.,Fribourg, CH,24-Oct,2016
"10,023,730",NOVA Chemicals ,International,International,19-Oct,2016
"10,023,730", S.A.,Fribourg, CH,19-Oct,2016
"10,023,729",NOVA Chemicals ,International,International,21-Apr,2016
"10,023,729", S.A.,Fribourg, CH,21-Apr,2016
"10,023,706",NOVA Chemicals ,International,International,31-May,2017
"10,023,706", S.A.,Fribourg, CH,31-May,2017
"9,963,529",NOVA Chemicals ,International,International,19-Apr,2017
"9,963,529", S.A.,Fribourg, CH,19-Apr,2017
"9,879,098",NOVA Chemicals ,International,International,19-May,2015
"9,879,098", S.A.,Fribourg, CH,19-May,2015
"9,695,309",NOVA Chemicals ,International,International,06-Apr,2016
"9,695,309", S.A.,Fribourg, CH,06-Apr,2016
"9,512,282",NOVA Chemicals ,International,International,21-Oct,2015
"9,512,282", S.A.,Fribourg, CH,21-Oct,2015
"9,505,892",NOVA Chemicals ,International,International,21-Oct,2015
"9,505,892", S.A.,Fribourg, CH,21-Oct,2015
"8,101,693",NOVA Chemicals ,International,International,       December 6,2010
"8,101,693", S.A.,CH,CH,       December 6,2010
"7,741,414",Nova Chemicals ,International,International,       November 22,2006
"7,741,414", S.A.,CH,CH,       November 22,2006
"6,734,150",Nova Chemicals ,International,International,       March 28,2002
"6,734,150", S.A.,CH,CH,       March 28,2002
"6,342,463",Nova Chemicals ,International,International,       February 25,2000
"6,342,463", S.A.,Calgary, CA,       February 25,2000
"4,664,820","NL Industries, Inc.",New York, NY,       October 28,1985
"4,505,886","NL Industries, Inc.",New York, NY,       July 1,1983
"4,386,059","NL Industries, Inc.",New York, NY,       May 7,1982
"4,615,918","NL Industries, Inc.",New York, NY,       July 10,1985
"4,391,928","NL Industries, Inc.",New York, NY,       September 4,1981
"4,342,858","NL Industries, Inc.",New York, NY,       March 27,1981
"4,600,738","NL Industries, Inc.",New York, NY,       July 10,1985
"4,710,404","NL Chemicals, Inc.",Hightstown, NJ,       July 11,1986
"7,101,531","Nissan Motor Co., Ltd.",Kanagawa, JP,       October 25,2002
"8,163,114",New Jersey Institute of Technology ,Newark, NJ,       April 7,2004
"8,802,018",Nestec S.A.,Vevey, CH,08-Feb,2006
"5,013,843","Nepera, Inc.",Harriman, NY,       June 7,1990
"4,883,881","Nepera, Inc.",Harriman, NY,       April 27,1988
"5,405,366","Nepera, Inc.",Harriman, NY,       November 12,1992
"4,675,410",Nepera Inc.,Harriman, NY,       March 21,1986
"6,590,019",National Starch and Chemical Investment Holding Corporation ,New Castle, DE,       May 4,2001
"6,365,700",National Starch and Chemical Investment Holding Corporation ,New Castle, DE,       June 7,1999
"4,898,677",National Starch and Chemical Corporation ,Bridgewater, NJ,       November 10,1986
"8,361,462",National Research Council of Canada ,Ottawa, CA,01-Sep,2006
"8,361,462",University of Windsor ,Windsor, CA,01-Sep,2006
"4,031,110",National Patent Development Corporation ,New York, NY,       July 13,1976
"4,015,008",National Patent Development Corporation ,New York, NY,       September 10,1975
"4,038,264",National Patent Development Corporation ,New York, NY,       November 22,1974
"7,960,365",N.V.,Oss, NL,       December 19,2006
"7,906,504",N.V.,Oss, NL,       September 10,2007
"7,820,649",N.V.,Oss, NL,       September 10,2007
"7,807,686",N.V.,Oss, NL,       March 10,2006
"4,263,042","N. L. Industries, Inc.",Hightstown, NJ,       November 8,1979
"4,220,628","N L Industries, Inc.",New York, NY,       October 10,1978
"3,956,472","N L Industries, Inc.",New York, NY,       April 3,1975
"4,172,715","N L Industries, Inc.",New York, NY,       August 30,1978
"8,211,927","MSD, Oss B.V.",Oss, NL,       July 31,2008
"8,314,091",MSD OSS B.V.,Oss, NL,       August 19,2008
"8,314,091","Pharmacopeia, Inc.",Cranbury, NJ,       August 19,2008
"5,998,315",Morgan Crucible Company PLC ,Windsor, GB,       January 28,1997
"9,944,552",Morgan Advanced Materials plc ,Windsor," Berkshire, GB",23-Jun,2014
"4,721,654",Monsanto Company (St.,St. Louis, MO,20-Apr,1984
"4,696,865",Monsanto Company (St.,St. Louis, MO,       April 20,1984
"4,044,065",Mobile Oil Corporation ,New York, NY,       December 8,1975
"4,929,780",Mobil Oil Corporation ,New York, NY,       May 12,1988
"4,834,949",Mobil Oil Corporation ,New York, NY,       November 10,1987
"4,788,369",Mobil Oil Corporation ,New York, NY,       October 5,1987
"4,788,042",Mobil Oil Corporation ,New York, NY,       October 5,1987
"4,767,604",Mobil Oil Corporation ,New York, NY,       October 15,1986
"4,634,798",Mobil Oil Corporation ,New York, NY,       September 23,1985
"4,633,028",Mobil Oil Corporation ,New York, NY,       September 23,1985
"4,633,027",Mobil Oil Corporation ,New York, NY,       September 23,1985
"4,628,135",Mobil Oil Corporation ,New York, NY,       September 23,1985
"4,569,827",Mobil Oil Corporation ,New York, NY,       November 9,1984
"4,544,788",Mobil Oil Corporation ,New York, NY,       December 28,1984
"4,511,747",Mobil Oil Corporation ,New York, NY,       February 1,1984
"4,506,106",Mobil Oil Corporation ,New York, NY,       January 4,1984
"4,504,693",Mobil Oil Corporation ,New York, NY,       June 1,1984
"4,497,968",Mobil Oil Corporation ,New York, NY,       April 11,1984
"4,479,812",Mobil Oil Corporation ,New York, NY,       June 29,1983
"4,456,781",Mobil Oil Corporation ,New York, NY,       April 26,1983
"4,080,396",Mobil Oil Corporation ,New York, NY,       August 31,1976
"4,080,395",Mobil Oil Corporation ,New York, NY,       August 31,1976
"4,076,639",Mobil Oil Corporation ,New York, NY,       August 30,1976
"4,070,411",Mobil Oil Corporation ,New York, NY,       October 7,1976
"4,067,919",Mobil Oil Corporation ,New York, NY,       August 31,1976
"4,007,231",Mobil Oil Corporation ,New York, NY,       November 24,1975
"3,984,336",Mobil Oil Corporation ,New York, NY,       November 17,1975
"3,981,941",Mobil Oil Corporation ,New York, NY,       October 1,1975
"3,979,472",Mobil Oil Corporation ,New York, NY,       March 28,1975
"3,972,832",Mobil Oil Corporation ,New York, NY,       September 23,1974
"3,965,209",Mobil Oil Corporation ,New York, NY,       January 6,1975
"3,965,208",Mobil Oil Corporation ,New York, NY,       January 6,1975
"3,959,239",Mobil Oil Corporation ,New York, NY,       May 5,1975
"4,605,638",Mobil Oil Corporation ,New York, NY,24-Jul,1984
"4,579,912",Mobil Oil Corporation ,New York, NY,       December 24,1984
"4,565,847",Mobil Oil Corporation ,New York, NY,       January 4,1984
"4,481,301",Mobil Oil Corporation ,New York, NY,       November 24,1982
"4,476,077",Mobil Oil Corporation ,New York, NY,       December 16,1981
"4,451,591",Mobil Oil Corporation ,New York, NY,       June 16,1982
"4,434,271",Mobil Oil Corporation ,New York, NY,       August 13,1982
"4,397,972",Mobil Oil Corporation ,New York, NY,       December 30,1982
"4,977,960",Mobil Oil Corporation ,New York, NY,       December 12,1988
"4,940,091",Mobil Oil Corporation ,New York, NY,       January 3,1989
"4,940,090",Mobil Oil Corporation ,New York, NY,       January 3,1989
"4,921,727",Mobil Oil Corporation ,New York, NY,       May 11,1989
"4,903,767",Mobil Oil Corporation ,New York, NY,       January 3,1989
"4,903,766",Mobil Oil Corporation ,New York, NY,       December 30,1988
"4,901,795",Mobil Oil Corporation ,New York, NY,       December 30,1988
"4,899,818",Mobil Oil Corporation ,New York, NY,25-Dec,1988
"4,888,079",Mobil Oil Corporation ,New York, NY,30-Dec,1988
"4,393,080",Mobil Oil Corporation ,New York, NY,       June 16,1982
"4,898,716",Mobil Oil Corporation ,New York, NY,       January 14,1985
"4,832,920",Mobil Oil Corporation ,New York, NY,       June 13,1984
"4,832,919",Mobil Oil Corporation ,New York, NY,       March 26,1984
"4,789,528",Mobil Oil Corporation ,New York, NY,       September 22,1986
"4,520,215",Mobil Oil Corporation ,New York, NY,       April 16,1984
"4,504,691",Mobil Oil Corporation ,New York, NY,       June 1,1984
"4,471,147",Mobil Oil Corporation ,New York, NY,       June 29,1983
"4,456,779",Mobil Oil Corporation ,New York, NY,       April 26,1983
"4,450,311",Mobil Oil Corporation ,New York, NY,       June 29,1983
"4,025,446",Mobil Oil Corporation ,New York, NY,       December 10,1975
"3,944,501",Mobil Oil Corporation ,New York, NY,       October 16,1973
"6,291,384",Mobil Oil Corporation ,Fairfax, VA,       July 28,1997
"6,194,520",Mobil Oil Corporation ,Fairfax, VA,       June 28,1993
"6,001,766",Mobil Oil Corporation ,Fairfax, VA,       December 24,1997
"5,994,256",Mobil Oil Corporation ,Fairfax, VA,       January 21,1998
"5,939,348",Mobil Oil Corporation ,Fairfax, VA,       December 12,1996
"5,693,583",Mobil Oil Corporation ,Fairfax, VA,       February 11,1997
"5,614,456",Mobil Oil Corporation ,Fairfax, VA,       November 3,1994
"5,602,067",Mobil Oil Corporation ,Fairfax, VA,       November 3,1994
"5,561,091",Mobil Oil Corporation ,Fairfax, VA,       May 2,1995
"5,539,076",Mobil Oil Corporation ,Fairfax, VA,       February 15,1995
"5,525,678",Mobil Oil Corporation ,Fairfax, VA,       September 22,1994
"5,473,028",Mobil Oil Corporation ,Fairfax, VA,       April 19,1994
"5,470,812",Mobil Oil Corporation ,Fairfax, VA,       November 15,1993
"5,336,652",Mobil Oil Corporation ,Fairfax, VA,       November 6,1991
"5,332,706",Mobil Oil Corporation ,Fairfax, VA,       December 28,1992
"5,260,245",Mobil Oil Corporation ,Fairfax, VA,       October 19,1992
"5,258,345",Mobil Oil Corporation ,Fairfax, VA,       November 20,1992
"5,025,072",Mobil Oil Corporation ,Fairfax, VA,       November 22,1985
"5,002,588",Mobil Oil Corporation ,Fairfax, VA,       December 18,1989
"4,981,520",Mobil Oil Corporation ,Fairfax, VA,       July 17,1989
"4,975,619",Mobil Oil Corporation ,Fairfax, VA,       November 23,1988
"4,963,597",Mobil Oil Corporation ,Fairfax, VA,16-Oct,1989
"4,954,368",Mobil Oil Corporation ,Fairfax, VA,       January 22,1990
"5,492,545",Mobil Oil Corporation ,Fairfax, VA,       August 15,1994
"5,490,863",Mobil Oil Corporation ,Fairfax, VA,15-Aug,1994
"5,409,506",Mobil Oil Corporation ,Fairfax, VA,       September 14,1993
"5,039,308",Mobil Oil Corporation ,Fairfax, VA,       December 13,1989
"4,897,245",Mobil Oil Corp.,New York, NY,       December 6,1984
"5,000,758",Mobil Oil Corp.,Fairfax, VA,       December 13,1989
"4,991,652",Mobil Oil Corp.,Fairfax, VA,       July 23,1990
"5,039,306",Mobil Oil Corp.,Fairfax, VA,       December 13,1989
"5,002,589",Mobil Oil Corp.,Fairfax, VA,       December 13,1989
"4,560,712",Mobil Oil Company ,New York, NY,       December 27,1984
"4,683,005",Mines and Resources Canada ,Ottawa, CA,       April 8,1986
"4,683,005",Petro Canada Inc.,Calgary, CA,       April 8,1986
"10,238,654","MINDIMMUNE THERAPEUTICS, INC.",Kingston, RI,05-Apr,2017
"10,124,010","MindImmune Therapeutics, Inc.",Kingston, RI,20-Dec,2017
"7,871,520",Milton Roy Company ,Ivyland, PA,       December 18,2007
"9,546,135","Millendo Therapeutics, Inc.",Ann Arbor, MI,25-Sep,2015
"10,059,660","Millendo Therapeutics, Inc ",Ann Arbor, MI,06-Dec,2016
"5,266,713",Miles Inc.,West Haven, CT,       August 12,1992
"8,236,747","Method Products, Inc.",San Francisco, CA,       February 6,2009
"8,168,649",Merk Sharp & Dohme Corp.,Rahway, NJ,       June 26,2006
"9,259,417","MERIAL, INC.",Duluth, GA,20-Feb,2015
"9,233,100","MERIAL, INC.",Duluth, GA,31-Jan,2013
"9,931,320",MERIAL INC.,Duluth, GA,22-Dec,2015
"8,603,465","Merck Sharp & Dohme, Corp.",Rahway, NJ,06-Aug,2007
"8,609,676","Merck Sharp & Dohme, Corp.",Rahway, NJ,03-Aug,2010
"8,691,833",Merck Sharp & Dohme Corp.,Rahway, NJ,08-Mar,2012
"8,691,833",Pharmacopeia Inc.,La Jolla, CA,08-Mar,2012
"8,829,036",Merck Sharp & Dohme Corp.,Rahway, NJ,14-Mar,2012
"8,829,036",Pharmacopeia Inc.,La Jolla, CA,14-Mar,2012
"8,778,980",Merck Sharp & Dohme Corp.,Rahway, NJ,17-Jul,2012
"8,778,980","Pharmacopeia Drug Discovery, Inc.",Princeton, NJ,17-Jul,2012
"8,691,831",Merck Sharp & Dohme Corp.,Rahway, NJ,09-Mar,2012
"8,691,831","Pharmacopeia Drug Discovery, Inc.",La Jolla, CA,09-Mar,2012
"10,138,255",Merck Sharp & Dohme Corp.,Rahway, NJ,06-Mar,2015
"10,138,255",MSD R&D ,China,China,06-Mar,2015
"10,138,255"," Co., Ltd.",Shanghai, CN,06-Mar,2015
"9,481,682",MERCK SHARP & DOHME CORP.,Rahway, NJ,22-Jan,2014
"8,318,735",Merck Sharp & Dohme Corp.,Rahway, NJ,       October 29,2007
"8,143,289",Merck Sharp & Dohme Corp.,Rahway, NJ,       November 12,2009
"8,017,624",Merck Sharp & Dohme Corp.,Rahway, NJ,       August 22,2006
"7,943,615",Merck Sharp & Dohme Corp.,Rahway, NJ,       December 8,2006
"7,910,596",Merck Sharp & Dohme Corp.,Rahway, NJ,       February 9,2007
"7,906,649",Merck Sharp & Dohme Corp.,Rahway, NJ,       May 19,2006
"7,884,104",Merck Sharp & Dohme Corp.,Rahway, NJ,       September 27,2005
"7,855,206",Merck Sharp & Dohme Corp.,Rahway, NJ,       November 9,2007
"7,807,692",Merck Sharp & Dohme Corp.,Rahway, NJ,       June 30,2006
"7,750,034",Merck Sharp & Dohme Corp.,Rahway, NJ,       January 19,2007
"7,718,667",Merck Sharp & Dohme Corp.,Rahway, NJ,       November 22,2005
"7,652,024",Merck Sharp & Dohme Corp.,Rahway, NJ,       October 13,2006
"8,552,022",Merck Sharp & Dohme Corp.,Rahway, NJ,03-Aug,2010
"8,445,499",Merck Sharp & Dohme Corp.,Rahway, NJ,21-Mar,2012
"8,901,139",Merck Sharp & Dohme Corp.,Rahway, NJ,10-Jun,2009
"9,193,717",Merck Sharp & Dohme Corp.,Rahway, NJ,08-Oct,2012
"9,505,730",Merck Sharp & Dohme Corp.,Rahway, NJ,08-Oct,2012
"8,669,252",Merck Sharp & Dohme Corp.,Rahway, NJ,12-May,2011
"9,284,301",Merck Sharp & Dohme Corp.,Rahway, NJ,22-Mar,2011
"8,609,635",Merck Sharp & Dohme Corp.,Rahway, NJ,04-Mar,2011
"9,840,478",Merck Sharp & Dohme Corp.,Rahway, NJ,29-Jul,2014
"10,030,027",Merck Sharp & Dohme Corp.,Rahway, NJ,20-Dec,2016
"9,783,552",Merck Sharp & Dohme Corp.,Rahway, NJ,05-Dec,2014
"10,093,683",Merck Sharp & Dohme Corp.,Rahway, NJ,21-Apr,2015
"9,868,727",Merck Sharp & Dohme Corp.,Rahway, NJ,23-Jul,2015
"9,708,270",Merck Sharp & Dohme Corp.,Rahway, NJ,11-Oct,2013
"9,611,278",Merck Sharp & Dohme Corp.,Rahway, NJ,05-Dec,2014
"9,555,038",Merck Sharp & Dohme Corp.,Rahway, NJ,31-Dec,2013
"9,272,999",Merck Sharp & Dohme Corp.,Rahway, NJ,26-Mar,2015
"9,085,568",Merck Sharp & Dohme Corp.,Rahway, NJ,08-Oct,2012
"9,487,506",Merck Sharp & Dohme Corp.,Rahway, NJ,11-Apr,2012
"8,586,576",Merck Sharp & Dohme Corp.,Rahway, NJ,23-Feb,2007
"8,519,168",Merck Sharp & Dohme Corp.,Rahway, NJ,01-Jul,2008
"8,957,062",Merck Sharp & Dohme Corp.,Rahway, NJ,05-Apr,2012
"8,933,113",Merck Sharp & Dohme Corp.,Rahway, NJ,19-Jan,2012
"8,716,482",Merck Sharp & Dohme Corp.,Rahway, NJ,15-Sep,2010
"8,716,483",Merck Sharp & Dohme Corp.,Rahway, NJ,19-Feb,2009
"8,455,520",Merck Sharp & Dohme Corp.,Rahway, NJ,11-Jul,2008
"8,796,452",Merck Sharp & Dohme Corp.,Rahway, NJ,10-Feb,2011
"8,697,740",Merck Sharp & Dohme Corp.,Rahway, NJ,08-Jan,2010
"8,653,059",Merck Sharp & Dohme Corp.,Rahway, NJ,18-Aug,2008
"7,834,036",Merck Sharp & Dohme Corp ,Rahway, NJ,       March 3,2006
"8,785,634",Merck Sharp & Dohme Corp ,Rahway, NJ,21-Apr,2011
"8,759,352",Merck Sharp & Dohme B.V.,Oss, NL,26-Aug,2009
"8,759,352",Pharmacopeia LLC.,San Diego, CA,26-Aug,2009
"8,546,404",Merck Sharp & Dohme ,Rahway, NJ,05-Jun,2007
"4,871,873",Merck & Company Incorporated ,Rahway, NJ,       March 18,1988
"5,939,263","Merck & Co., Ltd.",Rahway, NJ,       July 25,1997
"4,611,067","Merck & Co., Inc.",Rayway, NJ,       January 31,1985
"7,629,372","Merck & Co., Inc.",Rahway, NJ,       September 12,2005
"7,419,990","Merck & Co., Inc.",Rahway, NJ,       July 16,2004
"7,365,202","Merck & Co., Inc.",Rahway, NJ,       December 4,2006
"7,326,708","Merck & Co., Inc.",Rahway, NJ,       June 23,2004
"6,538,134","Merck & Co., Inc.",Rahway, NJ,       June 8,2001
"6,511,827","Merck & Co., Inc.",Rahway, NJ,       June 16,2000
"6,482,952","Merck & Co., Inc.",Rahway, NJ,       June 18,2001
"6,177,564","Merck & Co., Inc.",Rahway, NJ,       September 9,1999
"5,908,830","Merck & Co., Inc.",Rahway, NJ,       October 30,1997
"5,889,167","Merck & Co., Inc.",Rahway, NJ,       May 21,1997
"5,650,523","Merck & Co., Inc.",Rahway, NJ,       May 6,1991
"5,621,079","Merck & Co., Inc.",Rahway, NJ,       April 3,1995
"5,565,445","Merck & Co., Inc.",Rahway, NJ,       February 22,1995
"5,541,176","Merck & Co., Inc.",Rahway, NJ,       May 26,1995
"5,538,964","Merck & Co., Inc.",Rahway, NJ,       June 5,1995
"5,498,777","Merck & Co., Inc.",Rahway, NJ,       July 20,1994
"5,446,158","Merck & Co., Inc.",Rahway, NJ,       October 12,1990
"5,387,504","Merck & Co., Inc.",Rahway, NJ,       September 30,1992
"5,235,066","Merck & Co., Inc.",Rahway, NJ,       February 19,1992
"5,177,201","Merck & Co., Inc.",Rahway, NJ,       June 21,1990
"5,169,952","Merck & Co., Inc.",Rahway, NJ,       July 2,1991
"5,164,525","Merck & Co., Inc.",Rahway, NJ,       June 30,1989
"5,145,957","Merck & Co., Inc.",Rahway, NJ,       January 9,1992
"5,087,703","Merck & Co., Inc.",Rahway, NJ,       April 11,1990
"5,064,964","Merck & Co., Inc.",Rahway, NJ,       April 9,1990
"5,059,696","Merck & Co., Inc.",Rahway, NJ,       March 15,1990
"5,034,385","Merck & Co., Inc.",Rahway, NJ,       June 26,1990
"4,980,466","Merck & Co., Inc.",Rahway, NJ,       October 26,1989
"4,952,288","Merck & Co., Inc.",Rahway, NJ,       June 21,1989
"4,942,235","Merck & Co., Inc.",Rahway, NJ,       March 16,1989
"4,940,803","Merck & Co., Inc.",Rahway, NJ,       May 23,1988
"4,940,520","Merck & Co., Inc.",Rahway, NJ,       June 21,1989
"4,923,982","Merck & Co., Inc.",Rahway, NJ,       June 21,1989
"4,920,218","Merck & Co., Inc.",Rahway, NJ,       September 5,1989
"4,914,220","Merck & Co., Inc.",Rahway, NJ,       February 27,1989
"4,876,242","Merck & Co., Inc.",Rahway, NJ,       September 21,1987
"RE33,033","Merck & Co., Inc.",Rahway, NJ,       September 18,1987
"4,835,276","Merck & Co., Inc.",Rahway, NJ,       July 3,1986
"4,814,452","Merck & Co., Inc.",Rahway, NJ,       July 3,1986
"4,611,081","Merck & Co., Inc.",Rahway, NJ,       July 5,1985
"4,584,389","Merck & Co., Inc.",Rahway, NJ,       May 23,1985
"4,582,915","Merck & Co., Inc.",Rahway, NJ,       May 23,1985
"4,582,914","Merck & Co., Inc.",Rahway, NJ,       January 31,1985
"4,466,914","Merck & Co., Inc.",Rahway, NJ,       June 4,1981
"4,374,772","Merck & Co., Inc.",Rahway, NJ,       March 19,1981
"6,001,970",Merck & Co.,Rayway, NJ,       May 6,1997
"7,145,002",Merck & Co. Inc.,Rahway, unknown,       September 20,2002
"7,022,841",Merck & Co. Inc.,Rahway, NJ,       September 20,2002
"5,620,891",Memtec Limited ,South Windsor, AU,       August 8,1994
"5,489,406",Memtec Limited ,South Windsor, AU,       December 8,1992
"5,395,570",Memtec Limited ,South Windsor, AU,05-Feb,1993
"5,618,532",Memtec Limited ,South Windsor, AU,       August 8,1994
"5,846,422",Memtec America Corporation ,South Windsor, AU,       June 11,1996
"8,236,341","Medtronic Vascular, Inc.",Santa Rosa, CA,       April 2,2009
"7,963,960","Medtronic Vascular, Inc.",Santa Rosa, CA,       November 7,2006
"7,144,419","Medtronic Vascular, Inc.",Santa Rosa, CA,       January 24,2003
"6,918,929","Medtronic Vascular, Inc.",Santa Rosa, CA,       January 24,2003
"8,501,176","MedImmune, LLC ",Gaithersburg, MD,06-Jul,2011
"8,501,176","BIOWA, Inc.",Princeton, NJ,06-Jul,2011
"7,700,720","MedImmune, LLC ",Gaithersburg, MD,       September 21,2005
"7,608,260","MedImmune, LLC ",Gaithersburg, MD,       January 5,2004
"9,096,658","MedImmune, LLC ",Gaithersburg, MD,05-Mar,2010
"9,913,894","MedImmune, LLC ",Gaithersburg, MD,13-Jul,2015
"7,786,273","Medimmune, LLC ",Gaithersburg, MD,       March 14,2006
"8,198,045","Medical Diagnostics Laboratories, LLC ",Hamilton, NJ,       August 18,2011
"8,945,843","Medical Diagnostics Laboratories, LLC ",Hamilton, NJ,23-Oct,2012
"10,085,963","Medical Diagnostic Laboratories, LLC.",Hamilton, NJ,14-Jul,2017
"8,338,190","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,       July 30,2012
"8,178,310","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,       April 14,2009
"9,145,539","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,17-Sep,2012
"9,254,449","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,05-Jul,2013
"9,963,738","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,20-Nov,2012
"8,734,805","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,19-Nov,2012
"8,388,981","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,05-Apr,2012
"8,859,722","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,30-Jul,2012
"9,567,559","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,22-Apr,2014
"9,738,867","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,09-May,2011
"9,289,505","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,02-Jun,2011
"8,802,427","Medical Diagnostic Laboratories, LLC ",Hamilton, NJ,26-Aug,2011
"9,193,928","MCR HOLDINGS GROUP, LLC ",Towson, MD,18-Mar,2013
"5,750,446","McNeil-PPC, Inc.",Skillman, NJ,       December 22,1995
"9,458,471",Massachusetts Institute of Technology ,Cambridge, MA,15-Oct,2009
"10,035,706",Massachusetts Institute of Technology ,Cambridge, MA,09-Dec,2016
"9,540,243",Massachusetts Institute of Technology ,Cambridge, MA,17-Mar,2014
