Label,City,Country,Patent Category,Regions,Types of Actors,Country,Degree_normalized,Degree,Clossness_normalized,Closeness,Betweenness,Betweenness_normalized
 Barlow; Thomas Carroll ,Loveland,CO,Innovator,external,individual,outside,0.000388425,2,0.000196116,3.81E-08,2.982427056,2.25E-07
 Barr; Morton L.,East Brunswick,NJ,Innovator,external,individual,outside,0.000388425,2,0.000195503,3.80E-08,5.142857143,3.88E-07
 Barriau; Emilie ,Mainz,DE,Innovator,external,individual,outside,0.000388425,2,0.000454502,8.83E-08,636.6041313,4.80E-05
 Barron; Edward ,Hamilton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454487,8.83E-08,0,0
 Barth; Robert A.,Windsor,CT,Innovator,internal,individual,outside,0.000388425,2,0.00045459,8.83E-08,0,0
 Barton; Jerry M.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000455009,8.84E-08,544806.25,0.041106514
 Bauman; Richard Frank ,Baton Rouge,LA,Innovator,external,individual,outside,0.000388425,2,0.000454594,8.83E-08,2534.21795,0.000191211
 Bellehumeur; Celine ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Beltzer; Morton ,Westfield,NJ,Innovator,external,individual,outside,0.000388425,2,0.00045458,8.83E-08,0,0
 Benech; Regis-Olivier ,Chatham,CA,Innovator,external,individual,within,0.000388425,2,0.00019459,3.78E-08,7,5.28E-07
 Benjamin; Elfrida ,Millstone Township,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194856,3.78E-08,0,0
 Bennani; Youssef L.,Shaker Heights,OH,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Bennett; Frank ,Cranford,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454822,8.83E-08,29.14067421,2.20E-06
 Bensie; Jill M.,Ferndale,MI,Innovator,external,individual,outside,0.000388425,2,0.000195007,3.79E-08,0.75,5.66E-08
 Bentley; Terence James ,Newtown,PA,Innovator,external,individual,outside,0.000388425,2,0.000454992,8.84E-08,1613301.637,0.121726221
 Benum; Les ,Red Deer,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Berg; Heinrich ,Pulheim,DE,Innovator,external,individual,outside,0.000388425,2,0.000454502,8.83E-08,636.6041313,4.80E-05
 Beringer; Durwood Mace ,Suffield,CT,Innovator,external,individual,outside,0.000388425,2,0.000454362,8.82E-08,109.0468104,8.23E-06
 Berlowitz; Paul J (E.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000454594,8.83E-08,2534.21795,0.000191211
 Bertino; Joseph R.,Brantford,CT,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,0,0
 Betancourt; Aimesther ,Montreal,CA,Innovator,external,individual,within,0.000388425,2,0.000194401,3.78E-08,0,0
 Bett; John A. S.,Hamden,CT,Innovator,external,individual,outside,0.000388425,2,0.000454375,8.82E-08,78.1167043,5.89E-06
 Bi; Yingzhi ,Plainsboro,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Biceroglu; Omer ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Biju; Purakkattle ,Piscataway,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454826,8.83E-08,36.01415567,2.72E-06
 Biller; Scott A.,Ewing,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454497,8.83E-08,0,0
 Birbara; Philip J.,Windsor LCT,CT,Innovator,internal,individual,outside,0.000388425,2,0.00045459,8.83E-08,0,0
 Black; Robin Michael ,Porton,EN,Innovator,external,individual,outside,0.000388425,2,0.000454662,8.83E-08,0,0
 Blais; D'Arcy H. J.,Toronto,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
 Boateng; Kenneth A.,Brights Grove,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
 Bochmann; Manfred ,Norwich,GB,Innovator,external,individual,outside,0.000388425,2,0.000454568,8.83E-08,346.1212655,2.61E-05
 Bodeux; Doug F.,Beaumont,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
 Bogart; Robert William ,River Vale,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194818,3.78E-08,0.888888889,6.71E-08
 Bogen; Stephane L.,Somerset,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454822,8.83E-08,29.14067421,2.20E-06
 Bohen; Joseph M.,King of Prussia,PA,Innovator,external,individual,outside,0.000388425,2,0.000194326,3.77E-08,0.333333333,2.52E-08
 Bohnstedt; Adolph C.,Burlington,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454946,8.84E-08,44192.02422,0.00333436
 Bolton; Scott A.,Newtown,PA,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
" Bonacorsi, Jr.; Samuel J.",Flemington,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,245.2338462,1.85E-05
" Bonville, Jr.; Leonard J.",Marlbrough,CT,Innovator,external,individual,outside,0.000388425,2,0.000454369,8.82E-08,0,0
 Boschelli; Diane Harris ,New City,NY,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Bose; Sudhangshu ,Manchester,CT,Innovator,external,individual,outside,0.000388425,2,0.000454369,8.82E-08,0,0
 Boucher; Heather A.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Bowen; Benjamin A.,Berkeley,CA,Innovator,external,individual,within,0.000388425,2,0.000194439,3.78E-08,0.4,3.02E-08
 Bozzuto; Carl R.,Enfield,CT,Innovator,external,individual,outside,0.000388425,2,0.000198215,3.85E-08,292.5,2.21E-05
 Bradt; Christopher Bruce ,LaSalle,CA,Innovator,external,individual,within,0.000388425,2,0.00019459,3.78E-08,0,0
 Brandau; Sven ,Strasbourg,DE,Innovator,external,individual,outside,0.000388425,2,0.00045434,8.82E-08,1.951266308,1.47E-07
 Brandes; Dee Anne ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Brandt; Kevin S.,Windsor,CO,Innovator,internal,individual,outside,0.000388425,2,0.000196116,3.81E-08,0,0
 Branstrom; Arthur ,Superior Township,MI,Innovator,external,individual,outside,0.000388425,2,0.00019497,3.79E-08,0,0
 Brigance; Robert Paul ,Levittown,PA,Innovator,external,individual,outside,0.000388425,2,0.000454886,8.83E-08,1195.717647,9.02E-05
 Brittain; Jason Edward ,El Cajon,CA,Innovator,external,individual,within,0.000388425,2,0.000454722,8.83E-08,589.8333333,4.45E-05
 Bronson; Joanne J.,Durham,CT,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Brown; Dan ,Cambridge,GB,Innovator,external,individual,outside,0.000388425,2,0.000194401,3.78E-08,0.2,1.51E-08
 Brown; Stephen ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Brownie; John ,Brights Grove,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
 Buczek; Melissa ,Orion,MI,Innovator,external,individual,outside,0.000388425,2,0.000194363,3.77E-08,0.25,1.89E-08
 Buehner; Michael Ryan ,Fort Collins,CO,Innovator,external,individual,outside,0.000388425,2,0.000196116,3.81E-08,2.768907563,2.09E-07
 Bungard; Christopher J.,Lansdale,PA,Innovator,external,individual,outside,0.000388425,2,0.000454838,8.83E-08,72.9777621,5.51E-06
 Burdzy; Matthew ,Windsor,CT,Innovator,internal,individual,outside,0.000388425,2,0.000195771,3.80E-08,39,2.94E-06
 Burgwin; Steve L.,Pickering,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
 Burt; Diane Joyce ,Parsippany,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194818,3.78E-08,0.888888889,6.71E-08
 Butler; Kevin David ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454594,8.83E-08,2534.21795,0.000191211
 Butter; Stephen A.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000454581,8.83E-08,0,0
 Bzducha; Wojciech ,Lyons,FR,Innovator,external,individual,outside,0.000388425,2,0.000454273,8.82E-08,0,0
 Cady; Susan Mancini ,Yardley,PA,Innovator,external,individual,outside,0.000388425,2,0.000194363,3.77E-08,0,0
 Cai; Haiyong ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Cai; Heng ,Yardley,PA,Innovator,external,individual,outside,0.000388425,2,0.000195503,3.80E-08,5.142857143,3.88E-07
 Cao; Kai ,Princeton Junction,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,245.2338462,1.85E-05
 Cardis; Angeline B.,Florence,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454581,8.83E-08,0,0
 Carey; David G.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00019716,3.83E-08,14.6,1.10E-06
 Carmichael; Tricia Breen ,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000454566,8.83E-08,420.8571429,3.18E-05
 Carson; Kenneth ,Princeton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Carson; Richard E.,Guilford,CT,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,245.2338462,1.85E-05
 Casey; Jon A.,Poughkeepsie,NY,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,2.148148148,1.62E-07
 Casey; Jon Alfred ,Poughkeepsie,NY,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,2.148148148,1.62E-07
 Cassola; Adrian ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454717,8.83E-08,44915.50842,0.003388948
 Caufield; Craig Eugene ,New York,NY,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Chadwick; Sean ,Florence,NJ,Innovator,external,individual,outside,0.000388425,2,0.00019497,3.79E-08,0,0
 Chamberlin; Mark A.,Windsor HIA,IA,Innovator,internal,individual,outside,0.000388425,2,0.000194439,3.78E-08,0.4,3.02E-08
 Chan; Alexander D.,Edmonton,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
 Chang; James C.,Crystal Lake,IL,Innovator,external,individual,outside,0.000388425,2,0.000194515,3.78E-08,0,0
 Chang; Lehua ,Ramsey,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454838,8.83E-08,72.9777621,5.51E-06
 Chang; Robert ,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000195084,3.79E-08,5.238095238,3.95E-07
 Cheadle; Rhonda J.,Kinburn,CA,Innovator,external,individual,within,0.000388425,2,0.000195084,3.79E-08,7.6,5.73E-07
 Cheifetz; Peter ,Newtown,PA,Innovator,external,individual,outside,0.000388425,2,0.000194363,3.77E-08,0,0
 Chen; Haunn-Lin ,Darien,CT,Innovator,external,individual,outside,0.000388425,2,0.000194363,3.77E-08,2,1.51E-07
 Chen; Ming J.,Cranbury,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454044,8.82E-08,8859,0.000668426
 Chen; Mingfei ,Santa Rosa,CA,Innovator,external,individual,within,0.000388425,2,0.000194628,3.78E-08,32,2.41E-06
 Chen; Minzhang ,Plainsboro,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454822,8.83E-08,138.9689314,1.05E-05
 Chen; Ning ,Plainsboro,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454496,8.83E-08,0,0
 Chen; Yi-Jing ,Meishan Township,TW,Innovator,external,individual,outside,0.000388425,2,0.000194363,3.77E-08,0.25,1.89E-08
 Cheng; Song ,Pretoria,ZA,Innovator,external,individual,outside,0.000388425,2,0.000194288,3.77E-08,0.5,3.77E-08
 Cheron; Teresa M.,Yonkers,NY,Innovator,external,individual,outside,0.000388425,2,0.00019459,3.78E-08,0,0
 Chick; Orest N.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454845,8.83E-08,180436.7875,0.013614248
 Chisholm; P Scott ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Choi; Sukwon ,Clifton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454739,8.83E-08,588.8,4.44E-05
 Chu; Guo-dong ,Jiaxiang County,CN,Innovator,external,individual,outside,0.000388425,2,0.000194363,3.77E-08,0.25,1.89E-08
 Chu; Xin-Jie ,Shanghai,CN,Innovator,external,individual,outside,0.000388425,2,0.000454838,8.83E-08,72.9777621,5.51E-06
 Chu; Yuan C.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000194515,3.78E-08,8,6.04E-07
 Chu; Yuan Chieh ,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000194515,3.78E-08,0,0
 Cianchetta; Giovanni ,Lawrenceville,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Clayton; William L.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Clemens; Steven ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Cload; Sharon ,Cambridge,MA,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
 Clumpner; J.,Delavan,WI,Innovator,external,individual,outside,0.000388425,2,0.00045458,8.83E-08,0,0
 Cody; Charles A.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000195084,3.79E-08,13.33333333,1.01E-06
 Cohen; Daniel H.,Princeton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454721,8.83E-08,326.3333333,2.46E-05
 Colletti; Steven L.,Princeton Junction,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454838,8.83E-08,3437,0.000259327
 Colwell; Dennis J.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000195503,3.80E-08,5.142857143,3.88E-07
 Comparet; Cedric ,Saint Quentin Fallavier,FR,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,1.267857143,9.57E-08
 Conlon; Edward J.,Princeton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000196849,3.82E-08,156,1.18E-05
 Conlon; Michael ,Albany,NY,Innovator,external,individual,outside,0.000388425,2,0.000454646,8.83E-08,0.285714286,2.16E-08
 Corbett; Martin J.,Mount Holly,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
 Cordatos; Haralambos ,Colchester,CT,Innovator,external,individual,outside,0.000388425,2,0.000454361,8.82E-08,91.76556989,6.92E-06
 Cordero; Carla N.,Essex Junction,VT,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,2.148148148,1.62E-07
 Cordero; Carla Natalia ,Colchester,VT,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,2.148148148,1.62E-07
 Cosman; James P.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00019716,3.83E-08,273,2.06E-05
 Cote; Aaron S.,Perkasie,PA,Innovator,external,individual,outside,0.000388425,2,0.000454846,8.83E-08,30979.13606,0.002337426
 Cotrell; Phillip L.,New Egypt,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454502,8.83E-08,12260.11111,0.000925045
 Coupland; Keith ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Cranley; Paul E.,Lake Jackson,TX,Innovator,external,individual,outside,0.000388425,2,0.00019459,3.78E-08,1.333333333,1.01E-07
 Cranton; George E.,North York,CA,Innovator,external,individual,within,0.000388425,2,0.000194515,3.78E-08,18,1.36E-06
 Crespo; Alejandro ,Edison,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454838,8.83E-08,72.9777621,5.51E-06
 Crocker; Louis S.,Belle Mead,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454671,8.83E-08,0,0
 Cross; Barrington ,Rocky Hill,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454886,8.83E-08,0,0
 Crowley; John ,Princeton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194856,3.78E-08,0,0
 Cui; Weihong ,Longmeadow,MA,Innovator,external,individual,outside,0.000388425,2,0.000194326,3.77E-08,0,0
 Cullen; Thomas G.,Milltown,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454721,8.83E-08,326.3333333,2.46E-05
 Danowski; Kristine L.,Midland,MI,Innovator,external,individual,outside,0.000388425,2,0.00019459,3.78E-08,1.333333333,1.01E-07
 Dardas; Zissis ,Worcester,MA,Innovator,external,individual,outside,0.000388425,2,0.000454371,8.82E-08,25.31349229,1.91E-06
 Darling; Scott L.,Tariffville,CT,Innovator,external,individual,outside,0.000388425,2,0.000198215,3.85E-08,0,0
 Das; Jagabandhu ,Mercerville,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454726,8.83E-08,5469.663896,0.000412695
 Davidson; Gregory J. E.,London,CA,Innovator,external,individual,within,0.000388425,2,0.000454567,8.83E-08,1065.307719,8.04E-05
 Davis; Graham ,Princeton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000195084,3.79E-08,0,0
 Davison; John F.,Edison,NJ,Innovator,external,individual,outside,0.000388425,2,0.00045426,8.82E-08,0,0
 de Lera Ruiz; Manuel ,Branchburg,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454826,8.83E-08,36.01415567,2.72E-06
 De Sesa; Michael A.,Fair Haven,NJ,Innovator,external,individual,outside,0.000388425,2,0.000195084,3.79E-08,63,4.75E-06
 Dekraker; Abraham R.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Della Ciana; Leopoldo ,Rockville,MD,Innovator,external,individual,outside,0.000388425,2,0.000194439,3.78E-08,0.166666667,1.26E-08
 Delst; Cornelis Jan ,Fairfax,CA,Innovator,external,individual,within,0.000388425,2,0.00019535,3.79E-08,0,0
 Deng; Yongqi ,Newton,MA,Innovator,external,individual,outside,0.000388425,2,0.000454838,8.83E-08,0,0
 Dershem; Stephen M.,San Diego,CA,Innovator,external,individual,within,0.000388425,2,0.000196078,3.81E-08,81.6,6.16E-06
 Desmond; Richard ,Metuchen,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454671,8.83E-08,984.3333333,7.43E-05
 DEWaal; William ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454581,8.83E-08,8859,0.000668426
 Dewit; Perry ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Dhar; T. G.,Newtown,PA,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
 Diamond; Gary M.,San Jose,CA,Innovator,external,individual,within,0.000388425,2,0.000454788,8.83E-08,197343.6953,0.014889901
 Diana; William D.,Belle Mead,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454762,8.83E-08,0,0
 Dimmock; Jonathan R.,Saskatoon,CA,Innovator,external,individual,within,0.000388425,2,0.000195008,3.79E-08,10,7.55E-07
 Ding; Ping ,Lawrenceville,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454721,8.83E-08,326.3333333,2.46E-05
 Ding; Zhongfen ,Windsor,CT,Innovator,internal,individual,outside,0.000388425,2,0.00045459,8.83E-08,0,0
 Dionne; Jason ,Simsbury,CT,Innovator,external,individual,outside,0.000388425,2,0.000194552,3.78E-08,0,0
 Dixon; Jeremy ,Fremont,CA,Innovator,external,individual,within,0.000388425,2,0.000194552,3.78E-08,0.428571429,3.23E-08
 Djurovich; Peter I.,Long Beach,CA,Innovator,external,individual,within,0.000388425,2,0.000454487,8.83E-08,368.625,2.78E-05
 Do; Hung V.,New Hope,PA,Innovator,external,individual,outside,0.000388425,2,0.000194856,3.78E-08,0,0
 Dobbin; Christopher ,Calgary,CA,Innovator,external,individual,within,0.000388425,2,0.000454485,8.83E-08,55.98076923,4.22E-06
 Dobreski; David V.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000454582,8.83E-08,49963,0.003769789
 Dobri; Nicoleta ,New York,NY,Innovator,external,individual,outside,0.000388425,2,0.000454646,8.83E-08,0.285714286,2.16E-08
 Domeier; Linda A.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000194288,3.77E-08,2,1.51E-07
 Dong; Li ,Roselle Park,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Donnelly; David J.,Stockton,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,245.2338462,1.85E-05
 Donners; Jackie J.,Raritan,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194326,3.77E-08,3,2.26E-07
 Donovan; Stephen F.,Revere,PA,Innovator,external,individual,outside,0.000388425,2,0.000454721,8.83E-08,326.3333333,2.46E-05
 Douglas; Robert J.,North Granby,CT,Innovator,external,individual,outside,0.000388425,2,0.000196001,3.81E-08,252,1.90E-05
 Doweyko; Arthur M.,Long Valley,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
 Downing; Stephen Barry ,High Wycombe,EN,Innovator,external,individual,outside,0.000388425,2,0.000195618,3.80E-08,0,0
 Dressick; Walter J.,Rockville,MD,Innovator,external,individual,outside,0.000388425,2,0.000194439,3.78E-08,0.166666667,1.26E-08
 Drewitt; Mark J.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454566,8.83E-08,0,0
 Dropinski; James F.,Colts Neck,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454846,8.83E-08,30979.13606,0.002337426
 Drummond; Bruce J.,West Salem,WI,Innovator,external,individual,outside,0.000388425,2,0.000194439,3.78E-08,0.4,3.02E-08
 Du Plessis; Tjaart Andries ,Pretoria,ZA,Innovator,external,individual,outside,0.000388425,2,0.000194288,3.77E-08,0.5,3.77E-08
 Duca; Jose S.,Cranford,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454848,8.83E-08,352.530431,2.66E-05
 Dugan; Benjamin J.,Glen Mills,PA,Innovator,external,individual,outside,0.000388425,2,0.000454818,8.83E-08,88725.62101,0.006694492
 Dugan; John J.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454581,8.83E-08,1477,0.000111442
 Durutlic; Haris ,Nanuet,NY,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Dutra; Brian ,Windsor LCT,CT,Innovator,internal,individual,outside,0.000388425,2,0.000194552,3.78E-08,0,0
 Dzierba; Carolyn Diane ,Middletown,CT,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Echter; Nicholas Paul ,Wheat Ridge,CO,Innovator,external,individual,outside,0.000388425,2,0.000196116,3.81E-08,2.982427056,2.25E-07
 Edington; Edwin T.,Cookham,GB2,Innovator,external,individual,outside,0.000388425,2,0.000454662,8.83E-08,0,0
 Elokdah; Hassan Mahmoud ,North Wales,PA,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Elshenawy; Zeinab M.,Holland,PA,Innovator,external,individual,outside,0.000388425,2,0.000454723,8.83E-08,64548,0.004870251
 Elwell; Richard J.,Stade,DE,Innovator,external,individual,outside,0.000388425,2,0.00019716,3.83E-08,273,2.06E-05
 Eng; Jackson ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Engle; Linda ,Framingham,MA,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
 Enos; Annmarie ,Cranbury,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Erdei; James Joseph ,Philadelphia,PA,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Esposito; Anthony ,Roselle,NJ,Innovator,external,individual,outside,0.000388425,2,0.000195503,3.80E-08,5.142857143,3.88E-07
 Evers; Larry J.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Ewener; Patrick C.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Ewing; William R.,Yardley,PA,Innovator,external,individual,outside,0.000388425,2,0.000454722,8.83E-08,0,0
 Falla; Daniel J.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00019716,3.83E-08,273,2.06E-05
 Falla; Daniel James ,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00019716,3.83E-08,273,2.06E-05
 Fan; Jian-Qiang ,Old Tappan,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194856,3.78E-08,2,1.51E-07
 Fasano; Benjamin Vito ,Sopot,PL,Innovator,external,individual,outside,0.000388425,2,0.000196193,3.81E-08,2.148148148,1.62E-07
 Faulseit; Bruce K.,Mount Holly,NJ,Innovator,external,individual,outside,0.000388425,2,0.000195084,3.79E-08,13.33333333,1.01E-06
 Fefer; Michael A.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.00045458,8.83E-08,0,0
 Feitler; David ,Monroe,NY,Innovator,external,individual,outside,0.000388425,2,0.000194477,3.78E-08,0,0
 Feng; Fangxia ,Richardson,TX,Innovator,external,individual,outside,0.000388425,2,0.000454371,8.82E-08,25.31349229,1.91E-06
 Fink; Cynthia ,Lebanon,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454724,8.83E-08,3752.092732,0.000283101
 Fiordeliso; James ,Morrisville,PA,Innovator,external,individual,outside,0.000388425,2,0.000454487,8.83E-08,0,0
 Flanagan; John ,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000194856,3.78E-08,0,0
 Fletcher; Leah D.,Geneseo,NY,Innovator,external,individual,outside,0.000388425,2,0.000454658,8.83E-08,2.353479853,1.78E-07
 Fobare; William Floyd ,Lawrenceville,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454894,8.83E-08,0,0
 Forbes-Jones; Robin M.,Titusville,NJ,Innovator,external,individual,outside,0.000388425,2,0.000194742,3.78E-08,0,0
 Forner; Florian ,Cologne,DE,Innovator,external,individual,outside,0.000388425,2,0.00045434,8.82E-08,1.951266308,1.47E-07
 Fox; Adrian S.,Windsor,CA,Innovator,internal,individual,within,0.000388425,2,0.000194477,3.78E-08,15,1.13E-06
 Francisco; Manuel A.,Washington,NJ,Innovator,external,individual,outside,0.000388425,2,0.00045458,8.83E-08,0,0
 Frank; Glenn R.,Wellington,CO,Innovator,external,individual,outside,0.000388425,2,0.000196117,3.81E-08,99.2,7.48E-06
 Frantz; Seren ,Bensalem,PA,Innovator,external,individual,outside,0.000388425,2,0.000454502,8.83E-08,12260.11111,0.000925045
" Frazee, Jr.; Ralph E.",Bricktown,NJ,Innovator,external,individual,outside,0.000388425,2,0.00045449,8.83E-08,4396.5,0.000331723
 Freeman; Craig John ,Stourport on Severn,GB,Innovator,external,individual,outside,0.000388425,2,0.000195198,3.79E-08,0,0
 Freeman; Emily ,Albany,NY,Innovator,external,individual,outside,0.000388425,2,0.000454646,8.83E-08,0.285714286,2.16E-08
 Freundlich; Joel ,Monmouth Junction,NJ,Innovator,external,individual,outside,0.000388425,2,0.000195503,3.80E-08,5.142857143,3.88E-07
 Fu; Xiaoyong ,Edison,NJ,Innovator,external,individual,outside,0.000388425,2,0.000454848,8.83E-08,352.530431,2.66E-05
 Fyfe; Kim E.,Sarnia,CA,Innovator,internal,individual,within,0.000388425,2,0.000454581,8.83E-08,3671.312456,0.000277006
 Gale; Mary J.,Lambton Shore,CA,Innovator,external,individual,within,0.000388425,2,0.000454399,8.83E-08,0,0
